Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.34089178,0.11664901,0.34152222,-0.120378494,0.71268654
500-1000,15774,0.31887174,0.1252983,0.3020277,-0.06919098,0.7478123
1000-1500,7047,0.31694856,0.14804476,0.32606506,-0.050310135,0.6843853
1500-2000,1780,0.3463503,0.10938565,0.35742188,0.022271156,0.72930145
2000-2500,537,0.32949972,0.10295778,0.34178448,0.034086227,0.60042334
2500-3500,140,0.3332636,0.11831739,0.32306373,0.05159378,0.5935857
