Elevation Zone,Value
0-500,0.09072685
0-500,0.08979607
0-500,0.07518196
0-500,0.07910156
0-500,0.07156372
0-500,0.053876877
0-500,0.045116425
0-500,0.05290413
0-500,0.05478096
0-500,0.048555374
0-500,0.03876686
0-500,0.039873123
0-500,0.042528152
0-500,0.04439926
0-500,0.043642044
0-500,0.023044586
0-500,0.010969162
0-500,0.01093483
0-500,0.00598526
0-500,0.010629654
0-500,0.014606476
0-500,0.02171135
0-500,0.026849747
0-500,0.027584076
0-500,0.030139923
0-500,0.034593582
0-500,0.03647995
0-500,0.09224129
0-500,0.09586525
0-500,0.10515213
0-500,0.116449356
0-500,0.12239647
0-500,0.12737083
0-500,0.13731003
0-500,0.14145851
0-500,0.15991211
0-500,0.19451332
0-500,0.20906067
0-500,0.20646095
0-500,0.19875717
0-500,0.19150162
0-500,0.19673729
0-500,0.19480896
0-500,0.18392944
0-500,0.17743301
0-500,0.1968441
0-500,0.2055893
0-500,0.20654297
0-500,0.22017288
0-500,0.24047661
0-500,0.24207497
0-500,0.24668694
0-500,0.25265312
0-500,0.26024437
0-500,0.2709961
0-500,0.2693329
0-500,0.26804543
0-500,0.2806816
0-500,0.28607178
0-500,0.2917061
0-500,0.2999401
0-500,0.3024006
0-500,0.30508232
0-500,0.30174065
0-500,0.29994392
0-500,0.30044174
0-500,0.30415535
0-500,0.30140686
0-500,0.29688835
0-500,0.29907036
0-500,0.3025818
0-500,0.3021431
0-500,0.30078316
0-500,0.2879963
0-500,0.28164673
0-500,0.2848606
0-500,0.28605652
0-500,0.28118324
0-500,0.29400635
0-500,0.2994957
0-500,0.30336952
0-500,0.29655075
0-500,0.2866211
0-500,0.26286316
0-500,0.25769997
0-500,0.27919006
0-500,0.2795334
0-500,0.2702694
0-500,0.27731705
0-500,0.2861328
0-500,0.2822628
0-500,0.34267616
0-500,0.36270523
0-500,0.38370705
0-500,0.3825798
0-500,0.38093567
0-500,0.37962532
0-500,0.3731823
0-500,0.37272835
0-500,0.37358475
0-500,0.38097572
0-500,0.38571358
0-500,0.38035583
0-500,0.38245392
0-500,0.3967228
0-500,0.41070366
0-500,0.40596008
0-500,0.39819145
0-500,0.39678383
0-500,0.39120674
0-500,0.39735985
0-500,0.3840313
0-500,0.37745667
0-500,0.3762493
0-500,0.36959457
0-500,0.3603592
0-500,0.35098457
0-500,0.33838654
0-500,0.32868958
0-500,0.3275547
0-500,0.33218384
0-500,0.3334732
0-500,0.32966042
0-500,0.34293365
0-500,0.34946632
0-500,0.3515911
0-500,0.3460312
0-500,0.34492874
0-500,0.3550701
0-500,0.35126114
0-500,0.33231354
0-500,0.31881714
0-500,0.30993843
0-500,0.30230904
0-500,0.28979492
0-500,0.2890396
0-500,0.2887783
0-500,0.29388237
0-500,0.30924225
0-500,0.31789207
0-500,0.3277855
0-500,0.32977486
0-500,0.32737923
0-500,0.3209057
0-500,0.3129635
0-500,0.31278992
0-500,0.30669403
0-500,0.3026905
0-500,0.2981491
0-500,0.29576874
0-500,0.2791462
0-500,0.2793331
0-500,0.27851677
0-500,0.28922272
0-500,0.3037014
0-500,0.316185
0-500,0.32147026
0-500,0.31439972
0-500,0.2992134
0-500,0.29702377
0-500,0.30290985
