Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.4349023,0.15641545,0.43676567,-0.08381462,0.87999153
500-1000,15774,0.3812697,0.14819564,0.38874722,-0.07627678,0.8915844
1000-1500,7047,0.39103764,0.15461706,0.41683388,-0.0443573,0.8866043
1500-2000,1780,0.4202173,0.11734907,0.43854237,0.05643463,0.83662987
2000-2500,537,0.3722546,0.09746353,0.36847496,0.12508965,0.66908264
2500-3500,140,0.35390228,0.09543855,0.34272957,0.17086983,0.6467266
