Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.41691115,0.14872435,0.41262436,-0.08570862,0.8912029
500-1000,15774,0.36728433,0.15195966,0.36773586,-0.061117172,0.87262917
1000-1500,7047,0.37766722,0.16286731,0.398777,-0.029615402,0.88347054
1500-2000,1780,0.4125039,0.124604136,0.4330964,0.053422928,0.88337326
2000-2500,537,0.37713507,0.10233792,0.3771553,0.11739159,0.67344
2500-3500,140,0.3694416,0.1040048,0.36308193,0.14341164,0.67924976
