Elevation Zone,Value
0-500,0.06262112
0-500,0.063344955
0-500,0.08058643
0-500,0.09725571
0-500,0.109853745
0-500,0.118709564
0-500,0.11168003
0-500,0.10926628
0-500,0.10921955
0-500,0.09544754
0-500,0.086886406
0-500,0.08979797
0-500,0.09257984
0-500,0.10028744
0-500,0.10187721
0-500,0.10151386
0-500,0.100667
0-500,0.10655975
0-500,0.1106329
0-500,0.10991955
0-500,0.11528492
0-500,0.116612434
0-500,0.117295265
0-500,0.11142635
0-500,0.10114288
0-500,0.09678841
0-500,0.09576416
0-500,0.10670757
0-500,0.106165886
0-500,0.11519718
0-500,0.1237154
0-500,0.11545086
0-500,0.11851311
0-500,0.12524796
0-500,0.13314342
0-500,0.12776661
0-500,0.12577343
0-500,0.12286854
0-500,0.11000538
0-500,0.09667301
0-500,0.08425331
0-500,0.07035923
0-500,0.04912758
0-500,0.05048561
0-500,0.06898403
0-500,0.08026409
0-500,0.08888912
0-500,0.09045029
0-500,0.08806896
0-500,0.08613205
0-500,0.0818882
0-500,0.082962036
0-500,0.09126377
0-500,0.10230255
0-500,0.11257076
0-500,0.117033005
0-500,0.1247797
0-500,0.13039112
0-500,0.13819504
0-500,0.14234257
0-500,0.14190388
0-500,0.14365864
0-500,0.15009594
0-500,0.15739441
0-500,0.16878891
0-500,0.17759323
0-500,0.18916416
0-500,0.19995308
0-500,0.20561123
0-500,0.2078085
0-500,0.21472454
0-500,0.22091198
0-500,0.22792816
0-500,0.2388649
0-500,0.25023174
0-500,0.2593155
0-500,0.2653494
0-500,0.2680807
0-500,0.2688799
0-500,0.26546383
0-500,0.26279163
0-500,0.25944328
0-500,0.2545023
0-500,0.2457571
0-500,0.23805523
0-500,0.23125839
0-500,0.23315716
0-500,0.23817158
0-500,0.23934555
0-500,0.241045
0-500,0.24392605
0-500,0.32134914
0-500,0.32519913
0-500,0.31913757
0-500,0.32131004
0-500,0.32481956
0-500,0.330616
0-500,0.33573532
0-500,0.34391594
0-500,0.3541851
0-500,0.36364365
0-500,0.36946297
0-500,0.3731537
0-500,0.37986374
0-500,0.3875637
0-500,0.39881134
0-500,0.39785385
0-500,0.40005875
0-500,0.4088974
0-500,0.41584587
0-500,0.4227352
0-500,0.43082047
0-500,0.44029427
0-500,0.4456482
0-500,0.44893646
0-500,0.45335388
0-500,0.4582653
0-500,0.45825768
0-500,0.4534092
0-500,0.44946098
0-500,0.4439373
0-500,0.4423542
0-500,0.44306755
0-500,0.4549446
0-500,0.45502853
0-500,0.4501438
0-500,0.43665314
0-500,0.42873573
0-500,0.4261694
0-500,0.43201065
0-500,0.4361515
0-500,0.43022156
0-500,0.4235325
0-500,0.41854382
0-500,0.41423893
0-500,0.4090538
0-500,0.40467453
0-500,0.40212345
0-500,0.39809322
0-500,0.40200043
0-500,0.407506
0-500,0.40854836
0-500,0.40632153
0-500,0.40295506
0-500,0.40390396
0-500,0.39335632
0-500,0.38253498
0-500,0.36884117
0-500,0.36396313
0-500,0.36467648
0-500,0.36122322
0-500,0.36005974
0-500,0.3663559
0-500,0.3724451
0-500,0.37116623
0-500,0.37136745
0-500,0.3731861
0-500,0.37101936
0-500,0.36186028
0-500,0.3587017
0-500,0.36242485
0-500,0.36850548
0-500,0.371706
0-500,0.37030792
0-500,0.36485672
0-500,0.36232185
0-500,0.36953926
0-500,0.37491798
0-500,0.37952042
0-500,0.39291
0-500,0.4053669
0-500,0.4053154
0-500,0.40577126
0-500,0.40765953
0-500,0.39212418
0-500,0.38402557
0-500,0.37975502
0-500,0.37431717
0-500,0.36730576
0-500,0.3588581
0-500,0.35480118
0-500,0.35954285
0-500,0.3644371
0-500,0.36774635
0-500,0.38645172
0-500,0.39207077
0-500,0.3872757
0-500,0.3863964
0-500,0.38435745
0-500,0.38075447
0-500,0.38036728
0-500,0.37603378
0-500,0.3730564
0-500,0.3694439
0-500,0.36551476
0-500,0.36239624
0-500,0.36480713
0-500,0.36579895
0-500,0.37574387
0-500,0.38868904
0-500,0.40220833
0-500,0.4082756
0-500,0.419384
0-500,0.43094444
0-500,0.44245148
0-500,0.45371437
0-500,0.46393013
0-500,0.46432018
0-500,0.46330643
0-500,0.45923615
0-500,0.45267773
0-500,0.44356346
0-500,0.43702602
0-500,0.4313984
0-500,0.42383575
0-500,0.4280367
0-500,0.43885994
0-500,0.45218468
0-500,0.46130466
0-500,0.46670914
0-500,0.4727974
0-500,0.4765358
0-500,0.4815054
0-500,0.48353863
0-500,0.477849
0-500,0.47750473
0-500,0.4797659
0-500,0.47834778
0-500,0.4794817
0-500,0.48303223
0-500,0.4794941
0-500,0.47252464
0-500,0.4625187
0-500,0.45389366
0-500,0.44377136
0-500,0.4305544
0-500,0.420887
0-500,0.41245937
0-500,0.40646648
0-500,0.4000225
0-500,0.3953352
0-500,0.39309978
0-500,0.3888893
0-500,0.38629246
0-500,0.38960934
0-500,0.39437675
0-500,0.39313316
0-500,0.3895445
0-500,0.38848782
0-500,0.39352036
0-500,0.3953743
0-500,0.39857674
0-500,0.40907574
0-500,0.40651417
0-500,0.4064331
0-500,0.41530514
0-500,0.41480255
0-500,0.4173708
0-500,0.41483974
0-500,0.41323662
0-500,0.416461
0-500,0.41270638
0-500,0.40683365
0-500,0.40661716
0-500,0.40851402
0-500,0.4079504
0-500,0.410223
0-500,0.4087534
0-500,0.4034195
0-500,0.39927673
0-500,0.39914513
0-500,0.39967537
0-500,0.39876366
0-500,0.39350033
0-500,0.3913021
0-500,0.39293766
0-500,0.3938465
0-500,0.39251518
0-500,0.3954811
