daily_statistic,percentile,baseline_A,baseline_B,filename,LC_code,LC_name,Elevation,count,mean,median,std
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,10,Grass,1000_1500,1998,0.2744290745174801,0.28312110900878906,0.08472671620004182
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,10,Grass,1500_2000,1126,0.26659179242000275,0.26631832122802734,0.0707969332043157
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,10,Grass,2000_2500,452,0.2531628988485421,0.25345325469970703,0.060703090873369905
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,10,Grass,2500_3500,97,0.2351279455361907,0.2295818328857422,0.04939687150919369
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,11,Wetland,0_500,11,0.34620787880637427,0.32748985290527344,0.06386786557562926
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,11,Wetland,500_1000,1,0.3516063690185547,0.3516063690185547,0.0
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,12,Cropland,0_500,19968,0.3252122231687491,0.3193397521972656,0.10476647270935677
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,12,Cropland,500_1000,2714,0.25382604367081174,0.2752676010131836,0.10166315995809388
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,12,Cropland,1000_1500,809,0.23443847062119152,0.22579193115234375,0.08616422868456684
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,12,Cropland,1500_2000,42,0.30085454668317524,0.31038904190063477,0.07064787096959443
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,12,Cropland,2000_2500,2,0.25391054153442383,0.25391054153442383,0.06535482406616211
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,13,Urban,0_500,825,0.28576667207660095,0.2901287078857422,0.08352380978952392
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,13,Urban,500_1000,56,0.26554570879255024,0.27723121643066406,0.06989137225121891
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,13,Urban,1000_1500,6,0.2194360097249349,0.20453166961669922,0.07236075705573776
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,14,Crop/Nat Mosaic,0_500,996,0.22434327880062732,0.22021961212158203,0.07738545526420032
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,14,Crop/Nat Mosaic,500_1000,72,0.2688219944636027,0.25498485565185547,0.06238311943310454
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,14,Crop/Nat Mosaic,1000_1500,4,0.3459196090698242,0.3459157943725586,0.02153070442444398
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,15,Snow/Ice,2000_2500,1,0.2946767807006836,0.2946767807006836,0.0
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,15,Snow/Ice,2500_3500,3,0.2847682634989421,0.30044984817504883,0.03626360307879735
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,16,Barren,0_500,6734,0.14795358718450607,0.15186119079589844,0.04193550631374859
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,16,Barren,500_1000,3864,0.17135521442500207,0.16210365295410156,0.04360922726562513
