daily_statistic,percentile,baseline_A,baseline_B,filename,LC_code,LC_name,Elevation,count,mean,median,std
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,9,Savanna,1500_2000,20,0.23021259307861328,0.22135496139526367,0.04589572083849311
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,9,Savanna,2000_2500,1,0.2689361572265625,0.2689361572265625,0.0
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,10,Grass,0_500,2158,0.21933307152748993,0.20643997192382812,0.07947048651056057
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,10,Grass,500_1000,2042,0.2195671886701892,0.22072267532348633,0.059698107382427604
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,10,Grass,1000_1500,1998,0.2361204168340704,0.23889923095703125,0.06053170854130383
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,10,Grass,1500_2000,1126,0.234677325133532,0.23995351791381836,0.05732309616188951
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,10,Grass,2000_2500,452,0.22334147989749908,0.22346985340118408,0.04875875676497271
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,10,Grass,2500_3500,97,0.20418647300336779,0.20099830627441406,0.04182927477137929
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,11,Wetland,0_500,11,0.30260909687389026,0.30333614349365234,0.02729165038379702
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,11,Wetland,500_1000,1,0.3214855194091797,0.3214855194091797,0.0
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,12,Cropland,0_500,19968,0.27168397046625614,0.2732553482055664,0.08052948210768857
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,12,Cropland,500_1000,2714,0.21625929996206555,0.2242264747619629,0.07055789109631616
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,12,Cropland,1000_1500,809,0.21820285146404403,0.2224416732788086,0.060414903665749004
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,12,Cropland,1500_2000,42,0.25739658446539015,0.2596001625061035,0.041955848261727435
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,12,Cropland,2000_2500,2,0.21753525733947754,0.21753525733947754,0.030399560928344727
daily_mean,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_mean_baseline.tif,13,Urban,0_500,825,0.23542707732229523,0.23053932189941406,0.06994646824656563
