Elevation Zone,Value
0-500,0.046247482
0-500,0.049922943
0-500,0.079265594
0-500,0.08727455
0-500,0.09721756
0-500,0.08245468
0-500,0.07759285
0-500,0.07483673
0-500,0.07540703
0-500,0.067676544
0-500,0.049329758
0-500,0.041952133
0-500,0.047748566
0-500,0.049589157
0-500,0.062379837
0-500,0.078336716
0-500,0.085977554
0-500,0.08928299
0-500,0.093875885
0-500,0.090522766
0-500,0.087654114
0-500,0.07773781
0-500,0.07094765
0-500,0.06091118
0-500,0.053611755
0-500,0.05641365
0-500,0.05839157
0-500,0.08989906
0-500,0.08216095
0-500,0.07767105
0-500,0.10372734
0-500,0.1329174
0-500,0.13939095
0-500,0.14480782
0-500,0.13534737
0-500,0.13658905
0-500,0.15151596
0-500,0.16423416
0-500,0.1693573
0-500,0.18148041
0-500,0.19232368
0-500,0.18907928
0-500,0.17896843
0-500,0.17652702
0-500,0.17515564
0-500,0.17437744
0-500,0.1749134
0-500,0.17503166
0-500,0.18740273
0-500,0.18989182
0-500,0.19903374
0-500,0.20228004
0-500,0.20630836
0-500,0.21716309
0-500,0.21840477
0-500,0.22566032
0-500,0.23459625
0-500,0.24005127
0-500,0.25629997
0-500,0.27308083
0-500,0.27641296
0-500,0.2742405
0-500,0.27392387
0-500,0.27017212
0-500,0.2717209
0-500,0.27777672
0-500,0.28607178
0-500,0.3015995
0-500,0.3114853
0-500,0.3155918
0-500,0.31941605
0-500,0.3261509
0-500,0.32654762
0-500,0.32294273
0-500,0.32196236
0-500,0.31842422
0-500,0.3149624
0-500,0.32396507
0-500,0.33267784
0-500,0.33340073
0-500,0.3340664
0-500,0.32151985
0-500,0.3102131
0-500,0.30282402
0-500,0.30789948
0-500,0.31789207
0-500,0.30788803
0-500,0.28653908
0-500,0.27531052
0-500,0.27135277
0-500,0.27865982
0-500,0.4106083
0-500,0.4322033
0-500,0.44259834
0-500,0.45272827
0-500,0.4609356
0-500,0.47424316
0-500,0.48068237
0-500,0.4889393
0-500,0.49866104
0-500,0.5043411
0-500,0.5106888
0-500,0.51548576
0-500,0.52275276
0-500,0.53251076
0-500,0.543169
0-500,0.5444336
0-500,0.54841423
0-500,0.55212593
0-500,0.56012344
0-500,0.57248306
0-500,0.571228
0-500,0.56357
0-500,0.5582447
0-500,0.55106163
0-500,0.54222107
0-500,0.5379467
0-500,0.5301933
0-500,0.52941895
0-500,0.5252247
0-500,0.51973724
0-500,0.52415085
0-500,0.5214138
0-500,0.5331898
0-500,0.53424644
0-500,0.52822685
0-500,0.52173615
0-500,0.51947594
0-500,0.5215473
0-500,0.51701164
0-500,0.5112324
0-500,0.49905777
0-500,0.49196625
0-500,0.48901367
0-500,0.4863205
0-500,0.49121666
0-500,0.49757576
0-500,0.5075302
0-500,0.5189724
0-500,0.5339737
0-500,0.54696846
0-500,0.55882835
0-500,0.557724
0-500,0.5452156
0-500,0.548357
0-500,0.5499153
0-500,0.5395546
0-500,0.5312519
0-500,0.5247917
0-500,0.52082634
0-500,0.50528526
0-500,0.49590302
0-500,0.5010357
0-500,0.5057373
0-500,0.5105095
0-500,0.51903343
0-500,0.5240898
0-500,0.5232353
0-500,0.52625847
0-500,0.5321388
0-500,0.5300598
0-500,0.5286007
0-500,0.52326965
0-500,0.5187931
0-500,0.5212345
0-500,0.529974
0-500,0.5347023
0-500,0.5321884
0-500,0.52799225
0-500,0.5262165
0-500,0.5312309
0-500,0.5246525
0-500,0.51602364
0-500,0.5111408
0-500,0.49990273
0-500,0.4868641
0-500,0.4816761
0-500,0.47926903
0-500,0.47883987
0-500,0.47416306
0-500,0.46880722
0-500,0.4764824
0-500,0.47574997
0-500,0.4657688
0-500,0.46080208
0-500,0.45747375
0-500,0.45477486
0-500,0.46575356
0-500,0.4813633
0-500,0.48270226
0-500,0.48771095
0-500,0.49736023
0-500,0.4954357
0-500,0.48197937
0-500,0.46666527
0-500,0.45555878
0-500,0.4560852
0-500,0.45126915
0-500,0.44732475
0-500,0.44265366
0-500,0.44151306
0-500,0.44610023
0-500,0.459013
0-500,0.47013474
0-500,0.47543907
0-500,0.48917198
0-500,0.5119095
0-500,0.52589226
0-500,0.52949905
0-500,0.5285568
0-500,0.5147934
0-500,0.50844383
0-500,0.50318146
0-500,0.497715
0-500,0.48758507
0-500,0.4893303
0-500,0.5000496
0-500,0.5147686
0-500,0.53429794
0-500,0.55683327
0-500,0.5545082
0-500,0.5511055
0-500,0.55290604
0-500,0.5525894
0-500,0.5506096
0-500,0.55093
0-500,0.55143166
0-500,0.5412731
0-500,0.5373211
0-500,0.5461407
0-500,0.5443802
0-500,0.5449352
0-500,0.55246544
0-500,0.5432205
0-500,0.5226593
0-500,0.5004349
0-500,0.4769497
0-500,0.46484375
0-500,0.45892334
0-500,0.45024872
0-500,0.44357872
0-500,0.4440918
0-500,0.44984627
0-500,0.44615173
0-500,0.4421425
0-500,0.4412403
0-500,0.43913078
0-500,0.4328766
0-500,0.43020058
0-500,0.43212318
0-500,0.43509102
0-500,0.43989182
0-500,0.44229507
0-500,0.44136047
0-500,0.44501305
0-500,0.45594597
0-500,0.45526505
0-500,0.45480728
0-500,0.45505714
0-500,0.45183182
0-500,0.45791435
0-500,0.46131706
0-500,0.4690895
0-500,0.47066307
0-500,0.47029877
0-500,0.47292328
0-500,0.4792118
0-500,0.48900986
0-500,0.49389458
0-500,0.49075508
0-500,0.48375702
0-500,0.48318863
0-500,0.48592377
0-500,0.48373032
0-500,0.4876709
0-500,0.49209213
0-500,0.49130058
0-500,0.48092842
0-500,0.4712658
0-500,0.46625137
0-500,0.46045685
0-500,0.45777702
0-500,0.45692825
0-500,0.45448303
0-500,0.45757294
0-500,0.4645157
0-500,0.46728325
0-500,0.45962334
0-500,0.44937325
0-500,0.44491005
0-500,0.44220734
0-500,0.4420681
0-500,0.44890976
0-500,0.45599556
0-500,0.46081161
0-500,0.46432877
0-500,0.4658394
0-500,0.46538734
0-500,0.46736145
0-500,0.47449493
0-500,0.48188972
0-500,0.48947716
0-500,0.489254
0-500,0.48797607
0-500,0.4891262
0-500,0.49464607
0-500,0.50984573
0-500,0.52916336
0-500,0.5347996
0-500,0.53500557
0-500,0.53204346
0-500,0.5241699
0-500,0.52373123
0-500,0.51516914
0-500,0.51195335
0-500,0.51405525
0-500,0.5163288
0-500,0.5176258
0-500,0.5195713
0-500,0.52692413
0-500,0.5380192
0-500,0.5416069
0-500,0.54115295
0-500,0.54118156
0-500,0.54776764
0-500,0.54603004
0-500,0.54148865
0-500,0.53883934
0-500,0.5357971
0-500,0.53035164
0-500,0.5256691
0-500,0.52615356
0-500,0.5269642
0-500,0.5291214
0-500,0.52731514
0-500,0.5246506
0-500,0.5324745
0-500,0.54388237
0-500,0.5441265
0-500,0.5391464
0-500,0.53479195
0-500,0.5248375
0-500,0.5210705
0-500,0.5161667
0-500,0.5242691
0-500,0.5310192
0-500,0.5283146
0-500,0.52418137
0-500,0.5213871
0-500,0.5261822
0-500,0.51989746
0-500,0.5283661
0-500,0.5301819
0-500,0.52799416
0-500,0.5340805
0-500,0.52783394
0-500,0.52734756
0-500,0.53084946
0-500,0.5381298
0-500,0.5383129
0-500,0.54107666
0-500,0.5392151
0-500,0.5438366
0-500,0.5423832
0-500,0.53966904
0-500,0.53640366
0-500,0.5400486
0-500,0.5335541
0-500,0.52653503
0-500,0.5230255
0-500,0.5199642
0-500,0.5193691
0-500,0.5144768
0-500,0.5079365
0-500,0.5049534
0-500,0.5044365
0-500,0.49828148
0-500,0.5020771
0-500,0.503706
0-500,0.50366974
0-500,0.51091766
0-500,0.51916313
0-500,0.52010727
0-500,0.5257168
0-500,0.5291004
0-500,0.5318451
0-500,0.5314331
0-500,0.5288696
0-500,0.5320072
0-500,0.5355053
0-500,0.5407429
0-500,0.5464077
0-500,0.5490627
0-500,0.550066
0-500,0.54771996
0-500,0.54516983
0-500,0.5469494
0-500,0.5468731
0-500,0.5546875
0-500,0.5629406
0-500,0.58049774
0-500,0.59246445
0-500,0.59420013
0-500,0.5975971
0-500,0.5982628
0-500,0.5967903
0-500,0.5947552
0-500,0.5988426
0-500,0.59765816
0-500,0.6051655
0-500,0.6023731
0-500,0.59859276
0-500,0.60317993
0-500,0.61245346
0-500,0.6139927
0-500,0.61193275
0-500,0.61657906
0-500,0.61694527
0-500,0.6100235
0-500,0.60616493
0-500,0.5986061
0-500,0.59410477
0-500,0.050592422
0-500,0.060756683
0-500,0.09165001
0-500,0.10035324
0-500,0.09726524
0-500,0.09988594
0-500,0.10277939
0-500,0.09870148
0-500,0.07899284
0-500,0.05889511
0-500,0.05399704
0-500,0.050962448
0-500,0.046575546
0-500,0.046035767
0-500,0.05404091
0-500,0.06536293
0-500,0.07305908
0-500,0.08068466
0-500,0.063682556
0-500,0.046611786
0-500,0.042676926
0-500,0.027851105
0-500,0.017354965
0-500,0.014444351
0-500,0.017489433
0-500,0.115219116
0-500,0.11774826
0-500,0.11855698
0-500,0.11830902
0-500,0.12174797
0-500,0.12872887
0-500,0.13971329
0-500,0.15694809
0-500,0.1541729
0-500,0.14724159
0-500,0.15307999
0-500,0.17129707
0-500,0.18202591
0-500,0.19093895
0-500,0.20300484
0-500,0.20402145
0-500,0.19695091
0-500,0.18729973
0-500,0.18788528
0-500,0.18874931
0-500,0.1859436
0-500,0.18432617
0-500,0.18976402
0-500,0.19754982
0-500,0.2031784
0-500,0.21068764
0-500,0.21367645
0-500,0.21910667
0-500,0.22131538
0-500,0.22019958
0-500,0.2265644
0-500,0.2352829
0-500,0.24167633
0-500,0.25847816
0-500,0.27567863
0-500,0.2842102
0-500,0.28964996
0-500,0.2862091
0-500,0.28929138
0-500,0.29172325
0-500,0.2979622
0-500,0.299551
0-500,0.30641556
0-500,0.31258202
0-500,0.32131386
0-500,0.3291912
0-500,0.33353043
0-500,0.33281136
0-500,0.3293438
0-500,0.32240486
0-500,0.31996155
0-500,0.32397652
0-500,0.3291607
0-500,0.34466362
0-500,0.3606186
0-500,0.35606384
0-500,0.33790588
0-500,0.32624054
0-500,0.31855202
0-500,0.3032322
0-500,0.29979706
0-500,0.28278542
0-500,0.27348328
0-500,0.2676506
0-500,0.2665825
0-500,0.41827583
0-500,0.4246521
0-500,0.43424416
0-500,0.43737602
0-500,0.4473095
0-500,0.45663643
0-500,0.4719143
0-500,0.48432732
0-500,0.49352837
0-500,0.5023632
0-500,0.5108013
0-500,0.5109482
0-500,0.51620674
0-500,0.5243702
0-500,0.5325508
0-500,0.54003334
0-500,0.54330635
0-500,0.5470104
0-500,0.5544777
0-500,0.55550003
0-500,0.5589638
0-500,0.5662441
0-500,0.56347656
0-500,0.55789185
0-500,0.54755974
0-500,0.5382786
0-500,0.52931786
0-500,0.5253582
0-500,0.5188732
0-500,0.5175743
0-500,0.51589394
0-500,0.5113373
0-500,0.5101414
0-500,0.51750565
0-500,0.52345276
0-500,0.5321312
0-500,0.5479164
0-500,0.53839874
0-500,0.53595734
0-500,0.5336304
0-500,0.52617073
0-500,0.5253315
0-500,0.51615906
0-500,0.5084152
0-500,0.5102253
0-500,0.5102997
0-500,0.5126896
0-500,0.5176983
0-500,0.5239067
0-500,0.5401726
0-500,0.556654
0-500,0.56536674
0-500,0.5650196
0-500,0.5603523
0-500,0.5492611
0-500,0.5389252
0-500,0.5358486
0-500,0.5234413
0-500,0.5055485
0-500,0.49633026
0-500,0.49894524
0-500,0.50577354
0-500,0.50930595
0-500,0.51324654
0-500,0.51132774
0-500,0.51148796
0-500,0.52591324
0-500,0.5256367
0-500,0.52345276
0-500,0.5212631
0-500,0.5139427
0-500,0.5075073
0-500,0.50819206
0-500,0.5135498
0-500,0.5186939
0-500,0.5153885
0-500,0.50731087
0-500,0.5156975
0-500,0.52142334
0-500,0.5135174
0-500,0.5006237
0-500,0.49341393
0-500,0.48770523
0-500,0.48202705
0-500,0.47886276
0-500,0.48012543
0-500,0.47729683
0-500,0.46194267
0-500,0.4505024
0-500,0.46136284
0-500,0.47143364
0-500,0.47633553
0-500,0.47834396
0-500,0.4771633
0-500,0.46603203
0-500,0.47659492
0-500,0.48397827
0-500,0.49427795
0-500,0.5023117
0-500,0.4931221
0-500,0.47766685
0-500,0.47031975
0-500,0.45552826
0-500,0.44447708
0-500,0.43578148
0-500,0.431118
0-500,0.42752647
0-500,0.42734718
0-500,0.42832184
0-500,0.43884277
0-500,0.44910812
0-500,0.458498
0-500,0.4671898
0-500,0.48643875
0-500,0.51374626
0-500,0.5330944
0-500,0.5444107
0-500,0.5439701
0-500,0.5394821
0-500,0.53657913
0-500,0.531847
0-500,0.527483
0-500,0.5219631
0-500,0.5254154
0-500,0.53170776
0-500,0.54088783
0-500,0.5548191
0-500,0.56988716
0-500,0.577919
0-500,0.57824135
0-500,0.570858
0-500,0.5652466
0-500,0.56659126
0-500,0.5761509
0-500,0.5784073
0-500,0.5767994
0-500,0.5736942
0-500,0.56907845
0-500,0.56591606
0-500,0.5673275
0-500,0.5697346
0-500,0.5524998
0-500,0.5315132
0-500,0.49838066
0-500,0.4660988
0-500,0.43648338
0-500,0.43068314
0-500,0.42588997
0-500,0.42223167
0-500,0.42726517
0-500,0.43214798
0-500,0.43548965
0-500,0.44275665
0-500,0.44130325
0-500,0.43861198
0-500,0.4371853
0-500,0.43229103
0-500,0.4347477
0-500,0.43938828
0-500,0.44072723
0-500,0.442873
0-500,0.43523216
0-500,0.43611526
0-500,0.44431496
0-500,0.45309448
0-500,0.45773697
0-500,0.45861244
0-500,0.46541595
0-500,0.4546299
0-500,0.460104
0-500,0.47042847
0-500,0.469944
0-500,0.4743042
0-500,0.47849655
0-500,0.47623253
0-500,0.47707367
0-500,0.48038292
0-500,0.48108292
0-500,0.47330093
0-500,0.4684124
0-500,0.46490097
0-500,0.46074486
0-500,0.46355247
0-500,0.47523117
0-500,0.46562386
0-500,0.4543457
0-500,0.44724846
0-500,0.44449806
0-500,0.44203758
0-500,0.44243622
0-500,0.4405136
0-500,0.43829536
0-500,0.44148254
0-500,0.45804787
0-500,0.46144676
0-500,0.4621048
0-500,0.4548416
0-500,0.4482422
0-500,0.4409523
0-500,0.44156075
0-500,0.44377327
0-500,0.4485607
0-500,0.45809746
0-500,0.45970345
0-500,0.45957565
0-500,0.46303558
0-500,0.47180176
0-500,0.47741508
0-500,0.48026085
0-500,0.4783497
0-500,0.48544502
0-500,0.49655914
0-500,0.49995422
0-500,0.507843
0-500,0.5197315
0-500,0.53072166
0-500,0.5374298
0-500,0.53103065
0-500,0.53087044
0-500,0.5275135
0-500,0.517704
0-500,0.516922
0-500,0.5197239
0-500,0.5316696
0-500,0.5346565
0-500,0.536356
0-500,0.54177284
0-500,0.55906296
0-500,0.57009506
0-500,0.5647621
0-500,0.5763092
0-500,0.5812988
0-500,0.5792179
0-500,0.5769901
0-500,0.57107353
0-500,0.56573296
0-500,0.5585327
0-500,0.5520401
0-500,0.5524101
0-500,0.5504017
0-500,0.553318
0-500,0.5607548
0-500,0.5676365
0-500,0.57022667
0-500,0.56282043
0-500,0.5632553
0-500,0.56526184
0-500,0.56262016
0-500,0.5443554
0-500,0.53525734
0-500,0.53445053
0-500,0.5371113
0-500,0.53923225
0-500,0.54052734
0-500,0.5405083
0-500,0.53603745
0-500,0.53831863
0-500,0.5373974
0-500,0.54201317
0-500,0.54961395
0-500,0.54735374
0-500,0.5402031
0-500,0.53484917
0-500,0.5302067
0-500,0.53352356
0-500,0.5367336
0-500,0.5408611
0-500,0.5404339
0-500,0.5448532
0-500,0.54245377
0-500,0.5431881
0-500,0.5397892
0-500,0.53601265
0-500,0.5339184
0-500,0.5307865
0-500,0.5183983
0-500,0.5124016
0-500,0.51203346
0-500,0.50927544
0-500,0.5091152
0-500,0.5020771
0-500,0.49916267
0-500,0.50056076
0-500,0.5010376
0-500,0.5032139
0-500,0.50047493
0-500,0.49707794
0-500,0.5001259
0-500,0.50811005
0-500,0.51664734
0-500,0.52232933
0-500,0.5220833
0-500,0.5247059
0-500,0.5252857
0-500,0.5272865
0-500,0.5301533
0-500,0.52687454
0-500,0.5228329
0-500,0.5233841
