Elevation Zone,Value
0-500,0.045106888
0-500,0.046035767
0-500,0.0593853
0-500,0.05187416
0-500,0.03835678
0-500,0.03445244
0-500,0.027784348
0-500,0.014345169
0-500,0.009513855
0-500,0.01134491
0-500,0.02219963
0-500,0.027809143
0-500,0.040367126
0-500,0.054151535
0-500,0.05105591
0-500,0.054246902
0-500,0.056459427
0-500,0.055290222
0-500,0.044128418
0-500,0.041496277
0-500,0.050527573
0-500,0.059885025
0-500,0.05717945
0-500,0.048368454
0-500,0.048319817
0-500,0.055980682
0-500,0.06407642
0-500,0.11339092
0-500,0.110627174
0-500,0.1145401
0-500,0.11370087
0-500,0.13014984
0-500,0.1377182
0-500,0.14335632
0-500,0.14452553
0-500,0.1636219
0-500,0.17257118
0-500,0.16531563
0-500,0.16660118
0-500,0.17870522
0-500,0.17079735
0-500,0.16620255
0-500,0.16295242
0-500,0.16711235
0-500,0.16712189
0-500,0.16794586
0-500,0.17852592
0-500,0.17952156
0-500,0.19021606
0-500,0.19742584
0-500,0.2046051
0-500,0.21804619
0-500,0.22514725
0-500,0.23498917
0-500,0.23578072
0-500,0.23640251
0-500,0.23703003
0-500,0.2372303
0-500,0.242136
0-500,0.24354553
0-500,0.24956131
0-500,0.2533779
0-500,0.25963593
0-500,0.26849365
0-500,0.27685928
0-500,0.28342628
0-500,0.28837585
0-500,0.2934475
0-500,0.2968197
0-500,0.30218124
0-500,0.30449867
0-500,0.3089409
0-500,0.32083702
0-500,0.32564354
0-500,0.3291378
0-500,0.3323784
0-500,0.33935738
0-500,0.33702087
0-500,0.33125114
0-500,0.3252697
0-500,0.32639122
0-500,0.31821823
0-500,0.293602
0-500,0.2657528
0-500,0.2530079
0-500,0.24992943
0-500,0.2507782
0-500,0.2508793
0-500,0.2529068
0-500,0.25357246
0-500,0.2637806
0-500,0.41498756
0-500,0.41146088
0-500,0.4248581
0-500,0.42959023
0-500,0.43932533
0-500,0.44437027
0-500,0.44629097
0-500,0.44111443
0-500,0.43727684
0-500,0.4274826
0-500,0.41959572
0-500,0.42234612
0-500,0.43278694
0-500,0.4369793
0-500,0.4484787
0-500,0.45381165
0-500,0.4583168
0-500,0.4597721
0-500,0.46144676
0-500,0.45781898
0-500,0.46608353
0-500,0.47691727
0-500,0.49545288
0-500,0.5073166
0-500,0.51494026
0-500,0.5240936
0-500,0.53237915
0-500,0.5356922
0-500,0.5342617
0-500,0.5351677
0-500,0.5362892
0-500,0.5434036
0-500,0.55160713
0-500,0.548296
0-500,0.54470825
0-500,0.5386543
0-500,0.5350933
0-500,0.5413685
0-500,0.5408802
0-500,0.54206085
0-500,0.53520584
0-500,0.53681755
0-500,0.53972244
0-500,0.5366688
0-500,0.53421783
0-500,0.54558945
0-500,0.54802513
0-500,0.5459175
0-500,0.5437603
0-500,0.547369
0-500,0.5426922
0-500,0.5409069
0-500,0.52955437
0-500,0.53466034
0-500,0.5422783
0-500,0.52884865
0-500,0.5286255
0-500,0.54031754
0-500,0.54076004
0-500,0.5278301
0-500,0.52430916
0-500,0.52471733
0-500,0.5179138
0-500,0.50948334
0-500,0.5026741
0-500,0.5096054
0-500,0.5232525
0-500,0.5244694
0-500,0.5243015
0-500,0.5278797
0-500,0.5271282
0-500,0.53279495
0-500,0.5338249
0-500,0.53440285
0-500,0.53783226
0-500,0.5435524
0-500,0.54774475
0-500,0.5486717
0-500,0.55599403
0-500,0.56207657
0-500,0.5624962
0-500,0.56158066
0-500,0.55130005
0-500,0.5367775
0-500,0.52477264
0-500,0.5081177
0-500,0.48846436
0-500,0.47296524
0-500,0.4637375
0-500,0.45540047
0-500,0.4548149
0-500,0.459383
0-500,0.45867348
0-500,0.47317505
0-500,0.48124504
0-500,0.47968674
0-500,0.48298454
0-500,0.4903965
0-500,0.48718262
0-500,0.48899078
