Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.2491107,0.09069344,0.24983025,-0.018461227,0.55573463
500-1000,15774,0.23482768,0.10160557,0.23329926,-0.025476456,0.5813236
1000-1500,7047,0.2260169,0.11560483,0.21908855,-0.025995255,0.58457375
1500-2000,1780,0.25897223,0.08537949,0.24651766,0.026605606,0.6028805
2000-2500,537,0.2811998,0.08118046,0.27375078,0.09072685,0.5322466
2500-3500,140,0.29213765,0.09412347,0.28061152,0.109643936,0.49821997
