Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.2442031,0.082264766,0.23898983,-0.009994507,0.47822952
500-1000,15774,0.216979,0.06740606,0.21609211,0.022270203,0.4058981
1000-1500,7047,0.21846725,0.07123204,0.21974182,0.024766922,0.4219408
1500-2000,1780,0.22685161,0.057946574,0.22648859,0.029812813,0.40013504
2000-2500,537,0.21692021,0.050066113,0.2163806,0.053422928,0.34560966
2500-3500,140,0.21318047,0.04640194,0.20932782,0.118834496,0.3279034
