Elevation Zone,Value
0-500,0.027065277
0-500,0.02625084
0-500,0.024183273
0-500,0.022473335
0-500,0.030636787
0-500,0.035093307
0-500,0.034283638
0-500,0.03625393
0-500,0.033953667
0-500,0.034012794
0-500,0.040314674
0-500,0.0442791
0-500,0.04660988
0-500,0.055822372
0-500,0.06389713
0-500,0.06566715
0-500,0.07108307
0-500,0.07162666
0-500,0.07350445
0-500,0.07582569
0-500,0.075653076
0-500,0.07331371
0-500,0.07200909
0-500,0.0738039
0-500,0.077819824
0-500,0.08013916
0-500,0.08062363
0-500,0.11092758
0-500,0.11383057
0-500,0.121580124
0-500,0.12898159
0-500,0.12701416
0-500,0.12868118
0-500,0.13156033
0-500,0.12392712
0-500,0.12340832
0-500,0.11853504
0-500,0.11405277
0-500,0.11416149
0-500,0.10959816
0-500,0.10446262
0-500,0.1028986
0-500,0.097558975
0-500,0.10195732
0-500,0.10904503
0-500,0.122540474
0-500,0.1344347
0-500,0.14200401
0-500,0.14657116
0-500,0.1463604
0-500,0.15408897
0-500,0.15789795
0-500,0.16561222
0-500,0.1722765
0-500,0.17949772
0-500,0.17971897
0-500,0.18332767
0-500,0.18682098
0-500,0.18837166
0-500,0.19073963
0-500,0.19026756
0-500,0.18697453
0-500,0.18093109
0-500,0.17974377
0-500,0.18010521
0-500,0.1861124
0-500,0.19231415
0-500,0.19506931
0-500,0.19870377
0-500,0.20195866
0-500,0.20202255
0-500,0.2036295
0-500,0.20330048
0-500,0.19418716
0-500,0.19199371
0-500,0.18868637
0-500,0.19090843
0-500,0.1875124
0-500,0.18322086
0-500,0.18492985
0-500,0.18436718
0-500,0.18296146
0-500,0.1885395
0-500,0.19651318
0-500,0.19639969
0-500,0.19927502
0-500,0.20808887
0-500,0.21217728
0-500,0.21675682
0-500,0.222188
0-500,0.22727585
0-500,0.3219986
0-500,0.31118202
0-500,0.30880642
0-500,0.3110056
0-500,0.31587696
0-500,0.32187843
0-500,0.3263197
0-500,0.32820225
0-500,0.32943726
0-500,0.3380804
0-500,0.34329796
0-500,0.34528732
0-500,0.35148907
0-500,0.357399
0-500,0.36443138
0-500,0.364604
0-500,0.3633299
0-500,0.36693573
0-500,0.37143993
0-500,0.37901878
0-500,0.3781891
0-500,0.3832016
0-500,0.3778019
0-500,0.3755417
0-500,0.37661457
0-500,0.38180542
0-500,0.38587475
0-500,0.3884964
0-500,0.3914404
0-500,0.39273167
0-500,0.39109135
0-500,0.39177418
0-500,0.39056015
0-500,0.384408
0-500,0.3816061
0-500,0.37556267
0-500,0.37347603
