Elevation Zone,Value
0-500,0.049838066
0-500,0.05068302
0-500,0.072707176
0-500,0.084056854
0-500,0.09134483
0-500,0.0977335
0-500,0.096310616
0-500,0.09747028
0-500,0.094135284
0-500,0.08690357
0-500,0.08232403
0-500,0.08446884
0-500,0.08414745
0-500,0.08668327
0-500,0.086657524
0-500,0.08164978
0-500,0.07862568
0-500,0.08030796
0-500,0.080286026
0-500,0.08328247
0-500,0.084469795
0-500,0.07787895
0-500,0.0709486
0-500,0.06948757
0-500,0.06653118
0-500,0.0671196
0-500,0.06761551
0-500,0.09384632
0-500,0.09269714
0-500,0.09933758
0-500,0.11484909
0-500,0.10718346
0-500,0.11333084
0-500,0.121076584
0-500,0.12865067
0-500,0.12449646
0-500,0.11949825
0-500,0.11544418
0-500,0.103936195
0-500,0.09547615
0-500,0.08668709
0-500,0.075427055
0-500,0.062485695
0-500,0.06935215
0-500,0.08204651
0-500,0.08213711
0-500,0.08660221
0-500,0.084139824
0-500,0.07327747
0-500,0.06854534
0-500,0.067150116
0-500,0.07081413
0-500,0.075481415
0-500,0.08141041
0-500,0.08574772
0-500,0.090764046
0-500,0.09588337
0-500,0.10589504
0-500,0.10789204
0-500,0.10638523
0-500,0.10284233
0-500,0.106835365
0-500,0.11388397
0-500,0.11942005
0-500,0.1255064
0-500,0.13171291
0-500,0.13740444
0-500,0.14118195
0-500,0.1434393
0-500,0.14370346
0-500,0.14430428
0-500,0.14550018
0-500,0.15252018
0-500,0.16206169
0-500,0.168746
0-500,0.17602253
0-500,0.17937183
0-500,0.17910194
0-500,0.17758751
0-500,0.17487049
0-500,0.1746788
0-500,0.17289734
0-500,0.16947174
0-500,0.15798283
0-500,0.14934444
0-500,0.1408062
0-500,0.13932323
0-500,0.1431961
0-500,0.14087963
0-500,0.14091396
0-500,0.13960648
0-500,0.17868614
0-500,0.18104267
0-500,0.19312477
0-500,0.19649124
0-500,0.19849396
0-500,0.20252037
0-500,0.20875359
0-500,0.21547127
0-500,0.22338676
0-500,0.22846603
0-500,0.23183823
0-500,0.23283005
0-500,0.23913956
0-500,0.24755478
0-500,0.24481773
0-500,0.24713135
0-500,0.25186348
0-500,0.25658035
0-500,0.25520325
0-500,0.25326157
0-500,0.25794792
0-500,0.27223969
0-500,0.2787037
0-500,0.2809353
0-500,0.28399277
0-500,0.27851295
0-500,0.27884674
0-500,0.26900673
0-500,0.2668934
0-500,0.26646423
0-500,0.269619
0-500,0.27196503
0-500,0.2782135
0-500,0.2836628
0-500,0.28306007
0-500,0.26974106
0-500,0.26366806
0-500,0.2724867
0-500,0.27583694
0-500,0.2761793
0-500,0.27521324
0-500,0.2700529
0-500,0.2692032
0-500,0.26645565
0-500,0.2624855
0-500,0.25536823
0-500,0.25651646
0-500,0.25349808
0-500,0.25642395
0-500,0.26180172
0-500,0.26394844
0-500,0.2646408
0-500,0.2639885
0-500,0.26042557
0-500,0.25717163
0-500,0.25481033
0-500,0.24612904
0-500,0.23592663
0-500,0.23491764
0-500,0.23693657
0-500,0.23801708
0-500,0.24342728
0-500,0.2514677
0-500,0.25477028
0-500,0.25522518
0-500,0.25711823
0-500,0.25553322
0-500,0.24472618
0-500,0.23999023
0-500,0.24425125
0-500,0.25282478
0-500,0.25847816
0-500,0.26160812
0-500,0.25605583
0-500,0.25298882
0-500,0.25357437
0-500,0.25652504
0-500,0.25790024
0-500,0.26571465
0-500,0.27147865
0-500,0.27097893
0-500,0.2721157
0-500,0.27647018
0-500,0.26467896
0-500,0.25742912
0-500,0.2547722
0-500,0.24925041
0-500,0.24313545
0-500,0.23805046
0-500,0.23781395
0-500,0.24751472
0-500,0.2573681
0-500,0.26633644
0-500,0.28931046
0-500,0.29294586
0-500,0.28850174
0-500,0.2875862
0-500,0.29114532
0-500,0.28810883
0-500,0.28189278
0-500,0.2752819
0-500,0.27589607
0-500,0.272707
0-500,0.26724625
0-500,0.26933098
0-500,0.2683277
0-500,0.27088165
0-500,0.2779522
0-500,0.28214455
0-500,0.2863102
0-500,0.2884941
0-500,0.29042053
0-500,0.30028725
0-500,0.3047638
0-500,0.31437302
0-500,0.32417107
0-500,0.3274126
0-500,0.3295021
0-500,0.33127594
0-500,0.33290577
0-500,0.3320732
0-500,0.33155155
0-500,0.3299675
0-500,0.32909966
0-500,0.3301611
0-500,0.33815193
0-500,0.34911156
0-500,0.3597269
0-500,0.36788368
0-500,0.3725891
