daily_stat,percentile,baseline_A,baseline_B,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable,filename
daily_mean,p90,1991_2020,1981_2010,0.05,5,MF,178,0.05280332245624444,0.02656544932293804,1.9876690890619044,0.0262378731333064,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,7,Open Shrub,18,0.005339661821417977,0.025736561345917112,0.2074737860139606,-0.020396899524499135,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,8,Woody Savanna,161,0.04776030851379413,0.02796060730406237,1.7081284392150908,0.019799701209731756,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,9,Savanna,202,0.05992287155146841,0.053992613869511694,1.1098346099021774,0.005930257681956715,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,10,Grass,207,0.061406110946306734,0.06569552728764874,0.9347076350790101,-0.0042894163413420075,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,11,Wetland,1,0.0002966478789676654,0.00019696347968814116,1.5061060021754178,9.968439927952424e-05,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,12,Cropland,2402,0.7125482052803322,0.1954616331555191,3.645463274694902,0.5170865721248131,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,13,Urban,24,0.0071195490952239695,0.007558473533032417,0.9419294867025414,-0.00043892443780844774,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,14,Crop/Nat Mosaic,9,0.0026698309107089885,0.008961838325810422,0.29791107735337935,-0.006292007415101433,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,16,Barren,3,0.0008899436369029962,0.09854739433729996,0.009030615602650739,-0.09765745070039697,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.05,17,Water,42,0.012459210916641946,0.45545342634386543,0.02735562012708473,-0.4429942154272235,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
