Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.39285448,0.118793696,0.39396954,-0.0137348175,0.71287346
500-1000,15774,0.34856412,0.10734419,0.35094595,0.072301865,0.67378616
1000-1500,7047,0.35004622,0.12466026,0.3773451,0.0668602,0.6880722
1500-2000,1780,0.37373015,0.10064078,0.39096737,0.108882904,0.6893091
2000-2500,537,0.3313216,0.08272313,0.33287382,0.09413242,0.6220808
2500-3500,140,0.30636975,0.0759231,0.2994089,0.14266682,0.48576093
