Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.24406904,0.082940765,0.24861336,0.0052719116,0.5054178
500-1000,15774,0.22581893,0.08948699,0.22517872,0.007177353,0.54729843
1000-1500,7047,0.2214777,0.09537363,0.21495056,0.015218735,0.5580902
1500-2000,1780,0.2382332,0.07003818,0.22956705,0.026643753,0.52700233
2000-2500,537,0.24246898,0.062573,0.24200821,0.066534996,0.45736122
2500-3500,140,0.24657562,0.06303822,0.24060535,0.093891144,0.41303778
