percentile,baseline,top_frac,LC_code,LC_name,count,fraction
p97,1991_2020,0.1,11,Wetland,10,0.0014832393948383269
p97,1991_2020,0.1,12,Cropland,3243,0.4810145357460694
p97,1991_2020,0.1,13,Urban,87,0.012904182735093445
p97,1991_2020,0.1,14,Crop/Nat Mosaic,46,0.006822901216256304
p97,1991_2020,0.1,16,Barren,608,0.09018095520617028
p97,1991_2020,0.1,17,Water,130,0.01928211213289825
p99,1981_2020,0.05,1,ENF,25,0.007416196974191634
p99,1981_2020,0.05,4,DBF,270,0.08009492732126965
p99,1981_2020,0.05,5,MF,225,0.06674577276772471
p99,1981_2020,0.05,7,Open Shrub,145,0.04301394245031148
p99,1981_2020,0.05,8,Woody Savanna,140,0.041530703055473156
p99,1981_2020,0.05,9,Savanna,400,0.11865915158706615
p99,1981_2020,0.05,10,Grass,518,0.15366360130525067
p99,1981_2020,0.05,11,Wetland,7,0.0020765351527736575
p99,1981_2020,0.05,12,Cropland,1542,0.45743102936814
p99,1981_2020,0.05,13,Urban,19,0.005636309700385643
p99,1981_2020,0.05,14,Crop/Nat Mosaic,22,0.006526253337288638
p99,1981_2020,0.05,15,Snow/Ice,2,0.0005932957579353308
p99,1981_2020,0.05,16,Barren,16,0.004746366063482646
p99,1981_2020,0.05,17,Water,40,0.011865915158706615
p99,1981_2020,0.1,1,ENF,66,0.009789380005932958
p99,1981_2020,0.1,4,DBF,492,0.07297537822604569
p99,1981_2020,0.1,5,MF,516,0.07653515277365767
p99,1981_2020,0.1,7,Open Shrub,244,0.03619104123405518
p99,1981_2020,0.1,8,Woody Savanna,242,0.03589439335508751
p99,1981_2020,0.1,9,Savanna,741,0.10990803915752002
p99,1981_2020,0.1,10,Grass,961,0.1425393058439632
p99,1981_2020,0.1,11,Wetland,7,0.0010382675763868287
p99,1981_2020,0.1,12,Cropland,3244,0.4811628596855532
p99,1981_2020,0.1,13,Urban,76,0.011272619400771285
p99,1981_2020,0.1,14,Crop/Nat Mosaic,38,0.005636309700385643
p99,1981_2020,0.1,15,Snow/Ice,2,0.0002966478789676654
p99,1981_2020,0.1,16,Barren,50,0.007416196974191634
p99,1981_2020,0.1,17,Water,63,0.00934440818748146
p99,1991_2020,0.05,1,ENF,17,0.005043013942450311
p99,1991_2020,0.05,4,DBF,178,0.05280332245624444
p99,1991_2020,0.05,5,MF,164,0.04865025215069712
p99,1991_2020,0.05,7,Open Shrub,106,0.031444675170572534
p99,1991_2020,0.05,8,Woody Savanna,108,0.03203797092850786
p99,1991_2020,0.05,9,Savanna,297,0.08810442005339662
p99,1991_2020,0.05,10,Grass,558,0.16552951646395728
p99,1991_2020,0.05,11,Wetland,7,0.0020765351527736575
p99,1991_2020,0.05,12,Cropland,1615,0.4790863245327796
p99,1991_2020,0.05,13,Urban,31,0.009196084247997626
p99,1991_2020,0.05,14,Crop/Nat Mosaic,9,0.0026698309107089885
p99,1991_2020,0.05,16,Barren,229,0.06793236428359538
p99,1991_2020,0.05,17,Water,52,0.0154256897063186
p99,1991_2020,0.1,1,ENF,40,0.0059329575793533075
p99,1991_2020,0.1,4,DBF,372,0.055176505487985764
p99,1991_2020,0.1,5,MF,371,0.05502818154850193
p99,1991_2020,0.1,7,Open Shrub,211,0.0312963512310887
p99,1991_2020,0.1,8,Woody Savanna,173,0.025660041530703056
p99,1991_2020,0.1,9,Savanna,510,0.07564520913675467
p99,1991_2020,0.1,10,Grass,950,0.14090774250964105
p99,1991_2020,0.1,11,Wetland,7,0.0010382675763868287
p99,1991_2020,0.1,12,Cropland,3171,0.4703352121032335
p99,1991_2020,0.1,13,Urban,63,0.00934440818748146
p99,1991_2020,0.1,14,Crop/Nat Mosaic,13,0.001928211213289825
p99,1991_2020,0.1,16,Barren,736,0.10916641946010086
p99,1991_2020,0.1,17,Water,125,0.018540492435479086
