Elevation Zone,Value
0-500,0.04984188
0-500,0.050685883
0-500,0.072707176
0-500,0.08405781
0-500,0.091347694
0-500,0.097735405
0-500,0.09631157
0-500,0.09747124
0-500,0.094135284
0-500,0.08690739
0-500,0.08232689
0-500,0.084469795
0-500,0.08415222
0-500,0.086686134
0-500,0.08665848
0-500,0.08164978
0-500,0.07862759
0-500,0.08031273
0-500,0.080286026
0-500,0.08328247
0-500,0.084469795
0-500,0.07788086
0-500,0.0709486
0-500,0.06948757
0-500,0.06653118
0-500,0.0671196
0-500,0.06761551
0-500,0.093847275
0-500,0.09269714
0-500,0.099339485
0-500,0.11485195
0-500,0.107185364
0-500,0.113334656
0-500,0.121079445
0-500,0.12865257
0-500,0.12449646
0-500,0.11949921
0-500,0.11544514
0-500,0.10394001
0-500,0.095477104
0-500,0.08668804
0-500,0.07542801
0-500,0.06248665
0-500,0.0693531
0-500,0.08204651
0-500,0.082139015
0-500,0.08660412
0-500,0.084142685
0-500,0.07328129
0-500,0.068543434
0-500,0.067150116
0-500,0.07081509
0-500,0.075481415
0-500,0.08141136
0-500,0.08574867
0-500,0.09076595
0-500,0.095882416
0-500,0.10589886
0-500,0.107893944
0-500,0.10638714
0-500,0.10284424
0-500,0.10683632
0-500,0.11388588
0-500,0.11942005
0-500,0.1255064
0-500,0.13171387
0-500,0.13740444
0-500,0.14118385
0-500,0.1434393
0-500,0.14370441
0-500,0.14430428
0-500,0.14550114
0-500,0.15252113
0-500,0.1620636
0-500,0.168746
0-500,0.17602348
0-500,0.17937183
0-500,0.17910194
0-500,0.17758846
0-500,0.17487049
0-500,0.17467976
0-500,0.17290306
0-500,0.16947365
0-500,0.1579876
0-500,0.1493454
0-500,0.14080715
0-500,0.13932323
0-500,0.14319706
0-500,0.14087963
0-500,0.14091396
0-500,0.13960648
0-500,0.17868614
0-500,0.18104458
0-500,0.19312477
0-500,0.19649506
0-500,0.19849396
0-500,0.20252228
0-500,0.20875359
0-500,0.21547127
0-500,0.22338867
0-500,0.22846985
0-500,0.23184013
0-500,0.23283195
0-500,0.23913956
0-500,0.24755669
0-500,0.24482346
0-500,0.24713326
0-500,0.2518654
0-500,0.25658417
0-500,0.25520325
0-500,0.25326347
0-500,0.25794983
0-500,0.2722416
0-500,0.27870178
0-500,0.2809372
0-500,0.28399277
0-500,0.27851486
0-500,0.27885056
0-500,0.26901054
0-500,0.2668953
0-500,0.26646614
0-500,0.2696247
0-500,0.27196693
0-500,0.27821922
0-500,0.2836666
0-500,0.2830658
0-500,0.26974678
0-500,0.26367188
0-500,0.2724924
0-500,0.27584267
0-500,0.27618408
0-500,0.2752142
0-500,0.27006054
0-500,0.2692032
0-500,0.26645565
0-500,0.2624874
0-500,0.25537395
0-500,0.25652027
0-500,0.25349808
0-500,0.2564268
0-500,0.26180553
0-500,0.2639513
0-500,0.26464367
0-500,0.2639904
0-500,0.26043224
0-500,0.2571745
0-500,0.2548151
0-500,0.2461319
0-500,0.23592663
0-500,0.2349205
0-500,0.23693752
0-500,0.23801708
0-500,0.24342918
0-500,0.2514696
0-500,0.25477028
0-500,0.25522518
0-500,0.25712013
0-500,0.25553703
0-500,0.24472618
0-500,0.23999405
0-500,0.24425316
0-500,0.2528305
