Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.34089154,0.116648994,0.3415203,-0.1203804,0.71268845
500-1000,15774,0.31887156,0.12529832,0.30202484,-0.0691967,0.74780846
1000-1500,7047,0.31694835,0.14804487,0.32606506,-0.050310135,0.6843891
1500-2000,1780,0.3463502,0.10938564,0.35741997,0.022274017,0.72929955
2000-2500,537,0.32949966,0.102957755,0.34178448,0.034080505,0.6004257
2500-3500,140,0.3332636,0.11831747,0.32306397,0.051592827,0.5935879
