percentile,baseline,LC_code,LC_name,Elevation,count,mean,median,std
p95,1981_2020,9,Savanna,0_500,4104,0.23314160213135837,0.2436237335205078,0.08669420967142652
p95,1981_2020,9,Savanna,500_1000,1843,0.23800583372152312,0.24295520782470703,0.080893080209478
p95,1981_2020,9,Savanna,1000_1500,493,0.25728081399480424,0.2735748291015625,0.08614634313677194
p95,1981_2020,9,Savanna,1500_2000,20,0.2495288848876953,0.2529878616333008,0.0686788323511021
p95,1981_2020,9,Savanna,2000_2500,1,0.351806640625,0.351806640625,0.0
p95,1981_2020,10,Grass,0_500,2158,0.21787288169047697,0.20460033416748047,0.08072778523655051
p95,1981_2020,10,Grass,500_1000,2042,0.22268515679324877,0.22328758239746094,0.07252264442594859
p95,1981_2020,10,Grass,1000_1500,1998,0.2402655696487045,0.24715042114257812,0.07570218719167267
p95,1981_2020,10,Grass,1500_2000,1126,0.24122861181228664,0.2445392608642578,0.0679957713994409
p95,1981_2020,10,Grass,2000_2500,452,0.23940180782723217,0.23655176162719727,0.05938665046491061
p95,1981_2020,10,Grass,2500_3500,97,0.22342124427716756,0.2190113067626953,0.05357678981088051
p95,1981_2020,11,Wetland,0_500,11,0.2979612350463867,0.3094749450683594,0.03793651173873061
p95,1981_2020,11,Wetland,500_1000,1,0.33410072326660156,0.33410072326660156,0.0
p95,1981_2020,12,Cropland,0_500,19968,0.2668461698370102,0.2768588066101074,0.07779219846392503
p95,1981_2020,12,Cropland,500_1000,2714,0.22126919817379845,0.23004150390625,0.08839099475500088
p95,1981_2020,12,Cropland,1000_1500,809,0.20924276415585588,0.20528030395507812,0.07563033435255948
p95,1981_2020,12,Cropland,1500_2000,42,0.24780132657005674,0.2395334243774414,0.04315138993127972
p95,1981_2020,12,Cropland,2000_2500,2,0.20627212524414062,0.20627212524414062,0.033013343811035156
p95,1981_2020,13,Urban,0_500,825,0.2502870155103279,0.25949573516845703,0.06591652018071044
p95,1981_2020,13,Urban,500_1000,56,0.2510194608143398,0.26247215270996094,0.07411273716544635
p95,1981_2020,13,Urban,1000_1500,6,0.20189555486043295,0.19389724731445312,0.08405695824691453
p95,1981_2020,14,Crop/Nat Mosaic,0_500,996,0.20092503517028318,0.19486427307128906,0.08863961007776186
p95,1981_2020,14,Crop/Nat Mosaic,500_1000,72,0.2417183452182346,0.2345738410949707,0.06342120984518797
p95,1981_2020,14,Crop/Nat Mosaic,1000_1500,4,0.29962921142578125,0.30443763732910156,0.026030053754184563
p95,1981_2020,15,Snow/Ice,2000_2500,1,0.30106210708618164,0.30106210708618164,0.0
p95,1981_2020,15,Snow/Ice,2500_3500,3,0.2710526982943217,0.27667903900146484,0.05464569121314144
p95,1981_2020,16,Barren,0_500,6734,0.18733443086565799,0.18169689178466797,0.035933833702368405
p95,1981_2020,16,Barren,500_1000,3864,0.18533318185904998,0.16776371002197266,0.05604741786905995
p95,1981_2020,16,Barren,1000_1500,989,0.15698878806088162,0.16003799438476562,0.04441218075270243
p95,1981_2020,16,Barren,1500_2000,63,0.20109444572812035,0.20390892028808594,0.04438929994788825
p95,1981_2020,16,Barren,2000_2500,25,0.23428082466125488,0.22638607025146484,0.045829154150496154
p95,1981_2020,16,Barren,2500_3500,34,0.268471352317754,0.27340006828308105,0.05052416356615693
p95,1981_2020,17,Water,0_500,1532,0.22412986356969292,0.23044967651367188,0.07586338178467762
p95,1981_2020,17,Water,500_1000,43,0.2317135167676349,0.22251129150390625,0.07339441151172021
p95,1981_2020,17,Water,1000_1500,9,0.18545065985785592,0.17964935302734375,0.015564650947201785
p95,1991_2020,1,ENF,0_500,373,0.37213565836643087,0.3995819091796875,0.09831953608843438
p95,1991_2020,1,ENF,500_1000,259,0.3388957572259498,0.36992835998535156,0.09224519858525086
p95,1991_2020,1,ENF,1000_1500,251,0.4093903735339404,0.42711925506591797,0.09097921635096652
p95,1991_2020,1,ENF,1500_2000,108,0.38890099083935775,0.40244030952453613,0.06509843051773487
p95,1991_2020,2,EBF,0_500,134,0.17596777161555505,0.12775897979736328,0.11814759208452102
p95,1991_2020,2,EBF,500_1000,23,0.20509972779647165,0.22279739379882812,0.07892281866013902
p95,1991_2020,2,EBF,1000_1500,1,0.11986351013183594,0.11986351013183594,0.0
p95,1991_2020,4,DBF,0_500,1278,0.4494693894901186,0.4521188735961914,0.09080304538365892
p95,1991_2020,4,DBF,500_1000,1276,0.422921246869437,0.434847354888916,0.09997792940108467
p95,1991_2020,4,DBF,1000_1500,361,0.39479446279044955,0.4079170227050781,0.09585693161979505
p95,1991_2020,4,DBF,1500_2000,7,0.42211151123046875,0.4220705032348633,0.11546918426663451
p95,1991_2020,5,MF,0_500,1403,0.4390964310932227,0.44295406341552734,0.05202231338687752
p95,1991_2020,5,MF,500_1000,1186,0.42309468592600313,0.4323153495788574,0.07682787160290948
p95,1991_2020,5,MF,1000_1500,599,0.43827386770105126,0.4541435241699219,0.08305494070337516
p95,1991_2020,5,MF,1500_2000,49,0.4025426592145647,0.42825841903686523,0.0917502415346639
p95,1991_2020,6,Closed Shrub,500_1000,1,0.46048545837402344,0.46048545837402344,0.0
p95,1991_2020,7,Open Shrub,0_500,614,0.30964925933738485,0.2844390869140625,0.09664726425364253
p95,1991_2020,7,Open Shrub,500_1000,1188,0.3067294411386304,0.2839927673339844,0.14152436574406188
p95,1991_2020,7,Open Shrub,1000_1500,968,0.22072046748862778,0.1934833526611328,0.10248144924658573
p95,1991_2020,7,Open Shrub,1500_2000,293,0.2607570654703082,0.2495880126953125,0.06594786981302482
p95,1991_2020,7,Open Shrub,2000_2500,56,0.24231656960078649,0.24663448333740234,0.06433955513188601
p95,1991_2020,7,Open Shrub,2500_3500,6,0.27488358815511066,0.26748085021972656,0.027094485568598278
p95,1991_2020,8,Woody Savanna,0_500,1505,0.33241050061197375,0.36107826232910156,0.1345726337016404
p95,1991_2020,8,Woody Savanna,500_1000,1206,0.32020047648036065,0.33479785919189453,0.12316004415587731
p95,1991_2020,8,Woody Savanna,1000_1500,559,0.3763272425356406,0.3923158645629883,0.1068853796140258
p95,1991_2020,8,Woody Savanna,1500_2000,72,0.385626130633884,0.4053218364715576,0.09470428687081976
p95,1991_2020,9,Savanna,0_500,4104,0.34422441788351793,0.354400634765625,0.1308540217711745
p95,1991_2020,9,Savanna,500_1000,1843,0.3528221262840234,0.35764122009277344,0.10655601397680987
p95,1991_2020,9,Savanna,1000_1500,493,0.3700183806506422,0.38407230377197266,0.10377192688915919
p95,1991_2020,9,Savanna,1500_2000,20,0.3538061618804932,0.34539222717285156,0.08668146654588457
p95,1991_2020,9,Savanna,2000_2500,1,0.4390697479248047,0.4390697479248047,0.0
p95,1991_2020,10,Grass,0_500,2158,0.33444329430595165,0.32199859619140625,0.1257967598502154
p95,1991_2020,10,Grass,500_1000,2042,0.34655129103889426,0.348508358001709,0.10526833087276258
p95,1991_2020,10,Grass,1000_1500,1998,0.40205192613649415,0.4098024368286133,0.10015440646790978
p95,1991_2020,10,Grass,1500_2000,1126,0.3945261172248881,0.40107035636901855,0.08497421503903184
p95,1991_2020,10,Grass,2000_2500,452,0.34355086747523955,0.3416283130645752,0.07623629135470866
p95,1991_2020,10,Grass,2500_3500,97,0.2990168922955228,0.285794734954834,0.07198095764857579
p95,1991_2020,11,Wetland,0_500,11,0.4693691080266779,0.46112632751464844,0.05077690300392617
p95,1991_2020,11,Wetland,500_1000,1,0.5442123413085938,0.5442123413085938,0.0
p95,1991_2020,12,Cropland,0_500,19968,0.40979227223075354,0.4303455352783203,0.11067735553585198
p95,1991_2020,12,Cropland,500_1000,2714,0.3435550027677217,0.3535914421081543,0.12127190005382925
p95,1991_2020,12,Cropland,1000_1500,809,0.37851710254683335,0.40085697174072266,0.10270879427075855
p95,1991_2020,12,Cropland,1500_2000,42,0.4333733149937221,0.43236398696899414,0.0661584723046076
p95,1991_2020,12,Cropland,2000_2500,2,0.33057546615600586,0.33057546615600586,0.08155679702758789
p95,1991_2020,13,Urban,0_500,825,0.39716486034971293,0.4259014129638672,0.10069257548676191
p95,1991_2020,13,Urban,500_1000,56,0.4202256883893694,0.4231986999511719,0.10945466734632811
p95,1991_2020,13,Urban,1000_1500,6,0.37716245651245117,0.3999824523925781,0.08454446985285313
p95,1991_2020,14,Crop/Nat Mosaic,0_500,996,0.2818394674354768,0.2791304588317871,0.13733204606052427
p95,1991_2020,14,Crop/Nat Mosaic,500_1000,72,0.3586898512310452,0.34634876251220703,0.08899697605597863
p95,1991_2020,14,Crop/Nat Mosaic,1000_1500,4,0.44699740409851074,0.4563169479370117,0.04093147404741082
p95,1991_2020,15,Snow/Ice,2000_2500,1,0.40118885040283203,0.40118885040283203,0.0
p95,1991_2020,15,Snow/Ice,2500_3500,3,0.3500804702440898,0.36570262908935547,0.08741196852238944
p95,1991_2020,16,Barren,0_500,6734,0.3507762914033895,0.3507671356201172,0.05517771525141468
p95,1991_2020,16,Barren,500_1000,3864,0.3194015702352267,0.2781953811645508,0.10979133344287775
p95,1991_2020,16,Barren,1000_1500,989,0.21484844605047615,0.21405792236328125,0.07516486568699722
p95,1991_2020,16,Barren,1500_2000,63,0.25783575148809523,0.25414466857910156,0.06475361749914456
p95,1991_2020,16,Barren,2000_2500,25,0.27749969482421877,0.25610923767089844,0.07651834574670491
p95,1991_2020,16,Barren,2500_3500,34,0.3548244719996172,0.3570058345794678,0.08308795616505468
p95,1991_2020,17,Water,0_500,1532,0.3505488413120997,0.3468799591064453,0.11685194012828867
p95,1991_2020,17,Water,500_1000,43,0.37631048158157704,0.40128135681152344,0.09053409148891177
