Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.24356072,0.08015845,0.24656677,0.0040245056,0.48634148
500-1000,15774,0.22253172,0.08139706,0.22120762,-0.010835648,0.5094452
1000-1500,7047,0.22242174,0.08557663,0.21689034,0.002544403,0.5064621
1500-2000,1780,0.2355417,0.06500505,0.23279953,0.03679371,0.4587288
2000-2500,537,0.23447774,0.058703203,0.23046017,0.053798676,0.408638
2500-3500,140,0.23543936,0.055749733,0.22714639,0.107180595,0.36759472
