daily_stat,percentile,baseline,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable
daily_mean,p97,1981_2020,0.05,13,Urban,26,0.0077128448531593,0.007558473533032417,1.0204236105944198,0.00015437132012688284,False
daily_mean,p97,1981_2020,0.05,14,Crop/Nat Mosaic,49,0.014535746069415604,0.008961838325810422,1.6219603100350655,0.005573907743605182,False
daily_mean,p97,1981_2020,0.05,16,Barren,4,0.0011865915158706616,0.09854739433729996,0.01204082080353432,-0.0973608028214293,False
daily_mean,p97,1981_2020,0.05,17,Water,45,0.013349154553544943,0.45545342634386543,0.029309592993305066,-0.44210427179032047,True
daily_mean,p97,1981_2020,0.1,1,ENF,68,0.010086027884900622,0.008247845711940911,1.2228681569901898,0.0018381821729597115,False
daily_mean,p97,1981_2020,0.1,4,DBF,830,0.12310886977158113,0.024160853508411982,5.0953857954032475,0.09894801626316915,True
daily_mean,p97,1981_2020,0.1,5,MF,579,0.08587956096113913,0.02656544932293804,3.232753939794502,0.05931411163820109,True
daily_mean,p97,1981_2020,0.1,6,Closed Shrub,1,0.0001483239394838327,8.206811653672548e-06,18.073272026105016,0.00014011712783016015,False
daily_mean,p97,1981_2020,0.1,7,Open Shrub,172,0.025511717591219223,0.025736561345917112,0.9912636442889229,-0.00022484375469788986,True
daily_mean,p97,1981_2020,0.1,8,Woody Savanna,293,0.04345891426876298,0.02796060730406237,1.5542907847516199,0.015498306964700607,True
daily_mean,p97,1981_2020,0.1,9,Savanna,811,0.1202907149213883,0.053992613869511694,2.22791056591749,0.06629810105187661,True
daily_mean,p97,1981_2020,0.1,10,Grass,620,0.09196084247997627,0.06569552728764874,1.3998037047076963,0.026265315192327526,True
daily_mean,p97,1981_2020,0.1,11,Wetland,10,0.0014832393948383269,0.00019696347968814116,7.530530010877089,0.0012862759151501858,False
daily_mean,p97,1981_2020,0.1,12,Cropland,3106,0.4606941560367843,0.1954616331555191,2.356954398668269,0.2652325228812652,True
daily_mean,p97,1981_2020,0.1,13,Urban,61,0.009047760308513795,0.007558473533032417,1.1970353893511463,0.0014892867754813773,False
daily_mean,p97,1981_2020,0.1,14,Crop/Nat Mosaic,78,0.01156926727973895,0.008961838325810422,1.290948001864644,0.0026074289539285284,False
daily_mean,p97,1981_2020,0.1,16,Barren,46,0.006822901216256304,0.09854739433729996,0.06923471962032234,-0.09172449312104367,True
