filename,percentile,baseline,LC_code,LC_name,count,mean,median,std
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,9,Savanna,6465,0.33865847760913725,0.35009193420410156,0.1252838858332737
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,10,Grass,7890,0.3544377747748439,0.35860157012939453,0.1092574829062891
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,11,Wetland,20,0.4985968112945557,0.4937000274658203,0.0815974727670146
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,12,Cropland,23648,0.38737407943715263,0.40662097930908203,0.11291398702709336
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,13,Urban,893,0.3956018578165189,0.4226722717285156,0.10329264405179464
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,14,Crop/Nat Mosaic,1072,0.26917728737219054,0.2786874771118164,0.1426903264782881
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,15,Snow/Ice,4,0.37728652358055115,0.4059891700744629,0.07952142542466507
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,16,Barren,11917,0.33193009403054624,0.32878875732421875,0.09220865681194479
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,17,Water,1722,0.3436872568695387,0.3389396667480469,0.11843611719838681
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,1,ENF,991,0.2477489860219022,0.26249027252197266,0.0749122509921839
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,2,EBF,158,0.12923444071902504,0.11549758911132812,0.06797722217084254
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,4,DBF,2922,0.28967656132948066,0.29821157455444336,0.08269924886698413
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,5,MF,3237,0.294750483639269,0.30110645294189453,0.05705411780626768
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,6,Closed Shrub,1,0.3743743896484375,0.3743743896484375,0.0
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,7,Open Shrub,3126,0.18829865068178184,0.17687320709228516,0.09462780412937413
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,8,Woody Savanna,3350,0.22974905014038086,0.2377605438232422,0.08973694754784485
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,9,Savanna,6465,0.24123965851207713,0.24896621704101562,0.09099805115639913
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,10,Grass,7890,0.23161732515908012,0.22900390625,0.08119984023156299
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,11,Wetland,20,0.327726411819458,0.33757591247558594,0.05304220783049484
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,12,Cropland,23648,0.2592607617216923,0.26722192764282227,0.0839148473215889
