zone,ref_mean,n_ref,diff_mean,n_diff,distortion_ratio,metric,percentile,data_type,ref_baseline,alt_baseline
0,0.05211334280110908,59148,-0.010474290480376907,59148,-0.20099053155056246,hw_count,p90,daily_mean,1981_2010,1981_2020
4,5.627754528805002,11709,-0.68457501826705,11709,-0.12164265757269734,hw_count,p90,daily_mean,1981_2010,1981_2020
5,6.033640122715752,1666,-0.6414432439642523,1666,-0.1063111537736901,hw_count,p90,daily_mean,1981_2010,1981_2020
6,5.660936100936101,1365,-0.6954660154660155,1365,-0.12285353549962821,hw_count,p90,daily_mean,1981_2010,1981_2020
7,6.018466975922244,8048,-0.8543185332449746,8048,-0.14194952555913415,hw_count,p90,daily_mean,1981_2010,1981_2020
8,5.503483543185332,10060,-0.7328341064722774,10060,-0.13315822594729554,hw_count,p90,daily_mean,1981_2010,1981_2020
9,5.896273574187685,1956,-0.671529197909566,1956,-0.11389044085580384,hw_count,p90,daily_mean,1981_2010,1981_2020
14,5.949872648673911,4755,-0.8776445846477392,4755,-0.1475064484562172,hw_count,p90,daily_mean,1981_2010,1981_2020
15,5.586133572926026,11130,-0.6923549965059399,11130,-0.12394171858369402,hw_count,p90,daily_mean,1981_2010,1981_2020
17,6.367123287671233,73,-1.0779299847792998,73,-0.16929623228335336,hw_count,p90,daily_mean,1981_2010,1981_2020
18,6.283777777777777,900,-0.8450617283950617,900,-0.1344830700472483,hw_count,p90,daily_mean,1981_2010,1981_2020
25,5.985134210632219,2761,-0.9998470763411004,2761,-0.16705508005056652,hw_count,p90,daily_mean,1981_2010,1981_2020
26,6.122420232460801,13804,-1.0121768247528897,13804,-0.16532299069135162,hw_count,p90,daily_mean,1981_2010,1981_2020
27,6.3665392781316354,785,-1.0092002830856333,785,-0.15851630492047109,hw_count,p90,daily_mean,1981_2010,1981_2020
29,6.231187410586552,233,-0.8954697186456844,233,-0.14370771703756463,hw_count,p90,daily_mean,1981_2010,1981_2020
0,0.025432249047586845,59148,-0.005674278457804527,59148,-0.22311342642378967,hw_count,p95,daily_mean,1981_2010,1981_2020
4,2.7237319820460995,11709,-0.4794773251345119,11709,-0.1760368958967666,hw_count,p95,daily_mean,1981_2010,1981_2020
5,3.0899159663865547,1666,-0.49230358810190744,1666,-0.15932588195411798,hw_count,p95,daily_mean,1981_2010,1981_2020
6,2.8645177045177044,1365,-0.49367521367521366,1365,-0.1723414769520227,hw_count,p95,daily_mean,1981_2010,1981_2020
7,3.080674287607687,8048,-0.6067152639717251,8048,-0.19694235915912076,hw_count,p95,daily_mean,1981_2010,1981_2020
