zone,ref_mean,n_ref,diff_mean,n_diff,distortion_ratio,metric,percentile,data_type,ref_baseline,alt_baseline
0,0.04954013660647866,59148,-0.009380236393829414,59148,-0.18934615733661767,hw_count,p90,daily_maximum,1981_2010,1981_2020
4,5.062878507510841,11709,-0.4568166937113901,11709,-0.09022864999257055,hw_count,p90,daily_maximum,1981_2010,1981_2020
5,5.818394024276378,1666,-0.5646792050153395,1666,-0.0970506984726014,hw_count,p90,daily_maximum,1981_2010,1981_2020
6,5.34043142043142,1365,-0.6166381766381767,1365,-0.11546598522441141,hw_count,p90,daily_maximum,1981_2010,1981_2020
7,5.8049177159266625,8048,-0.8200242986525292,8048,-0.14126372454686692,hw_count,p90,daily_maximum,1981_2010,1981_2020
8,5.214453280318091,10060,-0.662712613209631,10060,-0.12709148520711064,hw_count,p90,daily_maximum,1981_2010,1981_2020
9,5.6684730743012945,1956,-0.6973528743467393,1956,-0.12302305470551532,hw_count,p90,daily_maximum,1981_2010,1981_2020
14,5.490814347470499,4755,-0.7788853838065194,4755,-0.14185243446572018,hw_count,p90,daily_maximum,1981_2010,1981_2020
15,5.191286812418888,11130,-0.6754397524208845,11130,-0.1301102742973008,hw_count,p90,daily_maximum,1981_2010,1981_2020
17,6.629528158295282,73,-1.1123287671232878,73,-0.16778400195097326,hw_count,p90,daily_maximum,1981_2010,1981_2020
18,6.157037037037036,900,-0.835358024691358,900,-0.13567532862147696,hw_count,p90,daily_maximum,1981_2010,1981_2020
25,5.861579942854844,2761,-1.0175862207734718,2761,-0.17360271956673784,hw_count,p90,daily_maximum,1981_2010,1981_2020
26,5.822201294310828,13804,-0.962237998647735,13804,-0.16527047904291498,hw_count,p90,daily_maximum,1981_2010,1981_2020
27,5.8262986553432405,785,-0.9019108280254777,785,-0.1547999647512653,hw_count,p90,daily_maximum,1981_2010,1981_2020
29,5.733428707677635,233,-0.8129709108249881,233,-0.14179489287420452,hw_count,p90,daily_maximum,1981_2010,1981_2020
