zone,ref_mean,n_ref,diff_mean,n_diff,distortion_ratio,metric,percentile,data_type,ref_baseline,alt_baseline
0,0.13637101033692317,59148,-0.03860145040789639,59148,-0.2830619754294296,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
4,15.983748383058277,11709,-2.0658875169257285,11709,-0.12924925155997455,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
5,15.062725972817613,1666,-1.7443794245018363,1666,-0.11580768490986881,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
6,16.76844690817374,1365,-2.8041619159169056,1365,-0.16722848154039469,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
7,16.967939710831843,8048,-3.4997192577116794,8048,-0.20625481439063645,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
8,14.870740884749704,10060,-2.625210802284381,10060,-0.17653530653682786,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
9,16.93083571891464,1956,-2.7544641266462886,1956,-0.16268920038850704,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
14,16.584404458218554,4755,-3.417645492348692,4755,-0.20607586476186593,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
15,16.790764673233472,11130,-2.9115390929513985,11130,-0.17340122072336198,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
17,20.06234493994096,73,-5.112072734364636,73,-0.2548093329628289,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
18,18.173954062461853,900,-3.8309104248267816,900,-0.21079124606304478,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
25,20.927339493559135,2761,-5.489898564226503,2761,-0.2623314140477737,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
26,19.13833892838262,13804,-4.423940090584991,13804,-0.23115590672880296,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
27,17.823371723663783,785,-3.614742443156597,785,-0.20280912597077658,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
29,17.046960264493382,233,-3.1840648497194124,233,-0.18678197159194349,hw_magnitude_index,p90,daily_maximum,1981_2010,1991_2020
0,0.06783093260175191,59148,-0.021991068725148527,59148,-0.324204085652505,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
