koppen_zone,metric,percentile,daily_statistic,deltaB_mean,deltaB_median,deltaB_std,n_pixel
0,hw_count,p90,daily_maximum,-0.009380236393829414,0.0,0.10658391064473029,59148
4,hw_count,p90,daily_maximum,-0.4568166937113901,-0.4222222222222225,0.24298341912780866,11709
5,hw_count,p90,daily_maximum,-0.5646792050153394,-0.5555555555555554,0.22322779957490493,1666
6,hw_count,p90,daily_maximum,-0.6166381766381767,-0.6444444444444439,0.36304027330602684,1365
7,hw_count,p90,daily_maximum,-0.8200242986525292,-0.822222222222222,0.35731417633612494,8048
8,hw_count,p90,daily_maximum,-0.6627126132096312,-0.6888888888888891,0.3951012835017465,10060
9,hw_count,p90,daily_maximum,-0.6973528743467394,-0.7111111111111112,0.31529358446684186,1956
14,hw_count,p90,daily_maximum,-0.7788853838065194,-0.7999999999999998,0.2607417472646978,4755
15,hw_count,p90,daily_maximum,-0.6754397524208845,-0.6888888888888891,0.24410744808031215,11130
17,hw_count,p90,daily_maximum,-1.1123287671232878,-1.0222222222222221,0.29218099404078157,73
18,hw_count,p90,daily_maximum,-0.8353580246913581,-0.8444444444444441,0.2571848533118793,900
25,hw_count,p90,daily_maximum,-1.0175862207734718,-1.0444444444444443,0.3036166455867196,2761
26,hw_count,p90,daily_maximum,-0.962237998647735,-0.9555555555555557,0.22678047843815569,13804
27,hw_count,p90,daily_maximum,-0.9019108280254777,-0.9111111111111105,0.21877646404209203,785
29,hw_count,p90,daily_maximum,-0.8129709108249881,-0.8000000000000007,0.2165250531948958,233
0,hw_count,p95,daily_maximum,-0.005174965998662488,0.0,0.05801542274465948,59148
4,hw_count,p95,daily_maximum,-0.32198214099315814,-0.31111111111111134,0.17840461832593324,11709
5,hw_count,p95,daily_maximum,-0.4497398959583833,-0.4444444444444442,0.1639084349851135,1666
6,hw_count,p95,daily_maximum,-0.47993487993487993,-0.48888888888888893,0.3198575115081855,1365
7,hw_count,p95,daily_maximum,-0.5620830572122818,-0.5555555555555558,0.26190473468547426,8048
8,hw_count,p95,daily_maximum,-0.43455268389662033,-0.4222222222222225,0.2963592673124874,10060
9,hw_count,p95,daily_maximum,-0.502192683481027,-0.48888888888888893,0.24660483663706367,1956
14,hw_count,p95,daily_maximum,-0.5057226311484987,-0.5111111111111111,0.2219714483423038,4755
15,hw_count,p95,daily_maximum,-0.4973245482679444,-0.5111111111111111,0.19913973920550837,11130
17,hw_count,p95,daily_maximum,-0.7077625570776256,-0.6888888888888891,0.1966288256684076,73
18,hw_count,p95,daily_maximum,-0.5227654320987655,-0.5111111111111111,0.18283015456115873,900
25,hw_count,p95,daily_maximum,-0.5678055454947886,-0.5555555555555558,0.19038039661726405,2761
