koppen_zone,metric,percentile,daily_statistic,deltaB_mean,deltaB_median,deltaB_std,n_pixel
7,hw_max_duration,p95,daily_maximum,-0.9109261100066269,-0.9111111111111114,0.4483487966818915,8048
8,hw_max_duration,p95,daily_maximum,-0.657660702451955,-0.666666666666667,0.4391441585824075,10060
9,hw_max_duration,p95,daily_maximum,-0.6795955464667122,-0.6888888888888891,0.3639807542485788,1956
14,hw_max_duration,p95,daily_maximum,-0.8239280289753474,-0.8222222222222224,0.32703636401142616,4755
15,hw_max_duration,p95,daily_maximum,-0.6615833083757612,-0.666666666666667,0.33570997927219615,11130
17,hw_max_duration,p95,daily_maximum,-1.2687975646879759,-1.2444444444444445,0.2428246981694496,73
18,hw_max_duration,p95,daily_maximum,-1.0606666666666666,-1.0888888888888886,0.3136119853676756,900
25,hw_max_duration,p95,daily_maximum,-1.123095496800676,-1.155555555555555,0.3164339970801802,2761
26,hw_max_duration,p95,daily_maximum,-0.9692987539843524,-0.9555555555555557,0.25478098299306384,13804
27,hw_max_duration,p95,daily_maximum,-0.8873885350318471,-0.8666666666666671,0.25074103796019376,785
29,hw_max_duration,p95,daily_maximum,-0.8499761564139245,-0.8444444444444446,0.2172723019167998,233
0,hw_max_duration,p99,daily_maximum,-0.004810531773404568,0.0,0.056765177757784384,59148
4,hw_max_duration,p99,daily_maximum,-0.3231834960761428,-0.2888888888888889,0.23674785041276544,11709
5,hw_max_duration,p99,daily_maximum,-0.37110844337735094,-0.3555555555555554,0.22683614823136128,1666
6,hw_max_duration,p99,daily_maximum,-0.38936914936914935,-0.40000000000000013,0.2818885810823263,1365
7,hw_max_duration,p99,daily_maximum,-0.501797548045063,-0.48888888888888893,0.31012590352862107,8048
8,hw_max_duration,p99,daily_maximum,-0.3552087475149106,-0.3555555555555556,0.31028927946150003,10060
9,hw_max_duration,p99,daily_maximum,-0.3943194728470802,-0.40000000000000013,0.2992050143661422,1956
14,hw_max_duration,p99,daily_maximum,-0.405851150835378,-0.3999999999999999,0.25157727749200876,4755
15,hw_max_duration,p99,daily_maximum,-0.4225057402415893,-0.4222222222222223,0.22556812136226326,11130
17,hw_max_duration,p99,daily_maximum,-0.7467275494672755,-0.7555555555555555,0.18423360805671082,73
18,hw_max_duration,p99,daily_maximum,-0.56720987654321,-0.5777777777777777,0.23795016506553904,900
25,hw_max_duration,p99,daily_maximum,-0.561044710048694,-0.5999999999999999,0.23991819494677227,2761
26,hw_max_duration,p99,daily_maximum,-0.5537927814804082,-0.5555555555555556,0.20517522848217853,13804
27,hw_max_duration,p99,daily_maximum,-0.46519462137296536,-0.4666666666666667,0.21832182922104193,785
29,hw_max_duration,p99,daily_maximum,-0.527038626609442,-0.5333333333333332,0.17268151239554613,233
0,hw_magnitude_index,p90,daily_maximum,-0.038601450407896386,0.0,0.4418661703934389,59148
4,hw_magnitude_index,p90,daily_maximum,-2.0658875169257285,-2.0665421379937055,0.7219523271755639,11709
5,hw_magnitude_index,p90,daily_maximum,-1.7443794245018358,-1.4970758014255106,0.8660804699726797,1666
6,hw_magnitude_index,p90,daily_maximum,-2.8041619159169056,-2.8376174502902565,1.636006886373261,1365
7,hw_magnitude_index,p90,daily_maximum,-3.49971925771168,-3.471520365609063,1.6982365169718108,8048
8,hw_magnitude_index,p90,daily_maximum,-2.625210802284382,-2.8697447035047743,1.4728734937613814,10060
9,hw_magnitude_index,p90,daily_maximum,-2.754464126646288,-2.8361463493771026,1.1169057636225235,1956
14,hw_magnitude_index,p90,daily_maximum,-3.417645492348692,-3.4184921476576076,1.1473215085431019,4755
15,hw_magnitude_index,p90,daily_maximum,-2.9115390929513985,-3.18934661547343,1.2099956128127027,11130
17,hw_magnitude_index,p90,daily_maximum,-5.112072734364635,-4.959792470932008,1.173262686524571,73
18,hw_magnitude_index,p90,daily_maximum,-3.830910424826782,-3.7630553072525403,0.9759613796727191,900
25,hw_magnitude_index,p90,daily_maximum,-5.489898564226502,-5.564399231804739,1.3574513854893846,2761
26,hw_magnitude_index,p90,daily_maximum,-4.423940090584991,-4.339716643757289,1.0470092473394617,13804
27,hw_magnitude_index,p90,daily_maximum,-3.6147424431565964,-3.6512056708335887,0.8790917948879247,785
29,hw_magnitude_index,p90,daily_maximum,-3.1840648497194124,-3.1065472377671117,0.6938572037602504,233
0,hw_magnitude_index,p95,daily_maximum,-0.021991068725148527,0.0,0.2509903857810731,59148
4,hw_magnitude_index,p95,daily_maximum,-1.4028703235167908,-1.3948629591200081,0.559476623957368,11709
5,hw_magnitude_index,p95,daily_maximum,-1.158668553213827,-1.012510479821099,0.6627969060935693,1666
6,hw_magnitude_index,p95,daily_maximum,-2.025942624642881,-2.1863620546129017,1.1682639175965193,1365
7,hw_magnitude_index,p95,daily_maximum,-2.4547099292729238,-2.4185524198744033,1.3055249006635756,8048
8,hw_magnitude_index,p95,daily_maximum,-1.7053055855662769,-1.8502258618672687,1.0667963247957826,10060
9,hw_magnitude_index,p95,daily_maximum,-1.969955985926953,-2.1076519648234053,0.8918306597382247,1956
14,hw_magnitude_index,p95,daily_maximum,-2.276957934743153,-2.2343733045789937,0.8772253446303164,4755
15,hw_magnitude_index,p95,daily_maximum,-2.26540028198353,-2.391625775231256,0.948282580974484,11130
17,hw_magnitude_index,p95,daily_maximum,-3.4429175792037987,-3.4074212286207413,0.7104153244055053,73
18,hw_magnitude_index,p95,daily_maximum,-2.712505013030252,-2.7283253855175436,0.7169983594186514,900
25,hw_magnitude_index,p95,daily_maximum,-3.5360643971848567,-3.6383385552300336,0.9708709614360803,2761
26,hw_magnitude_index,p95,daily_maximum,-2.9860136680772538,-3.0250675254397925,0.6585196471211857,13804
27,hw_magnitude_index,p95,daily_maximum,-2.6351195171114745,-2.62211413383484,0.6211056296333606,785
29,hw_magnitude_index,p95,daily_maximum,-2.535860017435177,-2.517305591371324,0.44642427103571203,233
0,hw_magnitude_index,p99,daily_maximum,-0.006617514238654,0.0,0.07644557698288723,59148
4,hw_magnitude_index,p99,daily_maximum,-0.40193443187751593,-0.38640569051106777,0.2945007543554945,11709
5,hw_magnitude_index,p99,daily_maximum,-0.3810063280581601,-0.3620082855224609,0.32827071801146984,1666
6,hw_magnitude_index,p99,daily_maximum,-0.7265347774134547,-0.7788285149468316,0.5125108431120816,1365
7,hw_magnitude_index,p99,daily_maximum,-0.8791576690091344,-0.8190847078959146,0.5799144869687266,8048
8,hw_magnitude_index,p99,daily_maximum,-0.6263346474845336,-0.6309229956732856,0.5262796762639802,10060
9,hw_magnitude_index,p99,daily_maximum,-0.720656734660278,-0.7613510449727376,0.45690648224834635,1956
14,hw_magnitude_index,p99,daily_maximum,-0.6568069607716518,-0.6165239757961698,0.4156099186250573,4755
15,hw_magnitude_index,p99,daily_maximum,-0.8799146745494589,-0.8597672462463379,0.4586472739364082,11130
17,hw_magnitude_index,p99,daily_maximum,-1.6441924745452277,-1.6475049972534177,0.2765220821656552,73
18,hw_magnitude_index,p99,daily_maximum,-1.0750624091360306,-1.1068189144134521,0.4280700166945522,900
25,hw_magnitude_index,p99,daily_maximum,-0.985097475603383,-0.9879935158623588,0.45037833621326523,2761
26,hw_magnitude_index,p99,daily_maximum,-0.9382121566034046,-0.9348405361175538,0.32489779702085464,13804
27,hw_magnitude_index,p99,daily_maximum,-0.9581983055126896,-0.9629524548848467,0.33507666857556156,785
29,hw_magnitude_index,p99,daily_maximum,-1.1450664517847653,-1.1115687052408854,0.3031730852628113,233
