koppen_zone,metric,percentile,daily_statistic,deltaB_mean,deltaB_median,deltaB_std,n_pixel
0,hw_count,p90,daily_mean,-0.010474290480376909,0.0,0.11615306241823467,59148
4,hw_count,p90,daily_mean,-0.68457501826705,-0.666666666666667,0.27810709212205054,11709
5,hw_count,p90,daily_mean,-0.6414432439642522,-0.6222222222222227,0.21287853685914346,1666
6,hw_count,p90,daily_mean,-0.6954660154660155,-0.7333333333333334,0.3623009060007597,1365
7,hw_count,p90,daily_mean,-0.8543185332449746,-0.8888888888888884,0.3034991206297732,8048
8,hw_count,p90,daily_mean,-0.7328341064722773,-0.7555555555555555,0.39535946242193354,10060
9,hw_count,p90,daily_mean,-0.6715291979095659,-0.6444444444444448,0.3105938942671209,1956
14,hw_count,p90,daily_mean,-0.8776445846477392,-0.8888888888888893,0.28545353837696935,4755
15,hw_count,p90,daily_mean,-0.6923549965059399,-0.7111111111111104,0.2668813175288055,11130
17,hw_count,p90,daily_mean,-1.0779299847792998,-1.0666666666666673,0.22950393309090353,73
18,hw_count,p90,daily_mean,-0.8450617283950619,-0.8444444444444441,0.2532145113973483,900
25,hw_count,p90,daily_mean,-0.9998470763411004,-1.0222222222222221,0.2753878821832849,2761
26,hw_count,p90,daily_mean,-1.0121768247528897,-1.0,0.2393957502490266,13804
27,hw_count,p90,daily_mean,-1.0092002830856333,-1.0,0.22971712793005214,785
29,hw_count,p90,daily_mean,-0.8954697186456845,-0.8888888888888893,0.17409493931805958,233
0,hw_count,p95,daily_mean,-0.0056742784578045265,0.0,0.06280773092628762,59148
4,hw_count,p95,daily_mean,-0.47947732513451197,-0.4666666666666668,0.194121695031601,11709
5,hw_count,p95,daily_mean,-0.49230358810190744,-0.4666666666666668,0.18453596250457918,1666
6,hw_count,p95,daily_mean,-0.4936752136752138,-0.48888888888888893,0.28906896295777024,1365
7,hw_count,p95,daily_mean,-0.6067152639717251,-0.6000000000000001,0.2443582143918203,8048
8,hw_count,p95,daily_mean,-0.49671747294013696,-0.5111111111111111,0.28843616268646266,10060
9,hw_count,p95,daily_mean,-0.4786980231765508,-0.4222222222222225,0.25776420571339587,1956
14,hw_count,p95,daily_mean,-0.6407991587802313,-0.6444444444444444,0.23713225037574137,4755
15,hw_count,p95,daily_mean,-0.5372546670659878,-0.5333333333333332,0.21512820126671894,11130
17,hw_count,p95,daily_mean,-0.6949771689497717,-0.6666666666666665,0.21999677976741963,73
18,hw_count,p95,daily_mean,-0.5809135802469136,-0.5777777777777775,0.21619363226777796,900
25,hw_count,p95,daily_mean,-0.6102378365326573,-0.6000000000000001,0.1692816631931582,2761
26,hw_count,p95,daily_mean,-0.6998969702823659,-0.6888888888888891,0.17180273281437283,13804
27,hw_count,p95,daily_mean,-0.7769285208775655,-0.7777777777777777,0.19320346648693454,785
