Elevation Zone,Value
0-500,0.052589417
0-500,0.056084633
0-500,0.059511185
0-500,0.06500435
0-500,0.07846928
0-500,0.07868576
0-500,0.073633194
0-500,0.07575989
0-500,0.07818222
0-500,0.0816555
0-500,0.08773708
0-500,0.092092514
0-500,0.09046173
0-500,0.084649086
0-500,0.082229614
0-500,0.08013821
0-500,0.07993412
0-500,0.07816982
0-500,0.07215881
0-500,0.0683918
0-500,0.06636429
0-500,0.06507015
0-500,0.06559849
0-500,0.067474365
0-500,0.0730896
0-500,0.08015728
0-500,0.08553314
0-500,0.11463547
0-500,0.11871052
0-500,0.12349796
0-500,0.120443344
0-500,0.12422943
0-500,0.122338295
0-500,0.118364334
0-500,0.11492348
0-500,0.11546421
0-500,0.11519241
0-500,0.11237526
0-500,0.11104965
0-500,0.11393261
0-500,0.10807514
0-500,0.09887123
0-500,0.091501236
0-500,0.088365555
0-500,0.08889866
0-500,0.09057999
0-500,0.0959568
0-500,0.09646034
0-500,0.10159302
0-500,0.104372025
0-500,0.1074152
0-500,0.111496925
0-500,0.119174
0-500,0.12804985
0-500,0.13592339
0-500,0.14030266
0-500,0.14328194
0-500,0.14587116
0-500,0.14985943
0-500,0.15487194
0-500,0.16304016
0-500,0.16850853
0-500,0.17288208
0-500,0.17830753
0-500,0.18003273
0-500,0.18528366
0-500,0.19193935
0-500,0.19976616
0-500,0.20115471
0-500,0.20542145
0-500,0.21504211
0-500,0.22159004
0-500,0.22466183
0-500,0.22611713
0-500,0.22888184
0-500,0.22833824
0-500,0.22869396
0-500,0.23528004
0-500,0.2356081
0-500,0.23733234
0-500,0.23937702
0-500,0.23962307
0-500,0.2352848
0-500,0.2332592
0-500,0.22639275
0-500,0.21783924
0-500,0.21470451
0-500,0.21469784
0-500,0.21742058
0-500,0.2230177
0-500,0.23039436
0-500,0.33863258
0-500,0.3317337
0-500,0.33726025
0-500,0.34259415
0-500,0.34422684
0-500,0.34241104
0-500,0.3447399
0-500,0.34942913
0-500,0.3539667
0-500,0.36057758
0-500,0.36798382
0-500,0.37517834
0-500,0.3829937
0-500,0.3910942
0-500,0.3959036
0-500,0.40113163
0-500,0.40811348
0-500,0.41206932
0-500,0.41696072
0-500,0.42719173
0-500,0.42613506
0-500,0.42167664
0-500,0.42392445
0-500,0.42788696
0-500,0.43559837
0-500,0.43931675
0-500,0.4454069
0-500,0.4453745
0-500,0.44768143
0-500,0.44773483
0-500,0.44474697
0-500,0.4441862
0-500,0.46014118
0-500,0.4662714
0-500,0.4671383
0-500,0.4612856
0-500,0.4512987
0-500,0.45223427
0-500,0.44674492
0-500,0.4308462
0-500,0.42303276
0-500,0.41980267
0-500,0.423378
0-500,0.42632484
0-500,0.42539597
0-500,0.42320538
0-500,0.42016315
0-500,0.41748047
0-500,0.4207592
0-500,0.42895222
0-500,0.43269348
0-500,0.43435097
0-500,0.42910194
0-500,0.43241787
0-500,0.4313383
0-500,0.42338657
0-500,0.42312813
0-500,0.4213953
0-500,0.41807938
0-500,0.41087532
0-500,0.40005207
0-500,0.3966322
0-500,0.3930807
0-500,0.39247513
0-500,0.38993454
0-500,0.3935747
0-500,0.40043736
0-500,0.40536022
0-500,0.40737724
0-500,0.4051628
0-500,0.4013052
0-500,0.40352154
0-500,0.4072342
0-500,0.41709423
0-500,0.4245329
0-500,0.43211746
0-500,0.43470192
0-500,0.43951797
0-500,0.44154644
0-500,0.44405842
0-500,0.4413452
0-500,0.43521595
0-500,0.42609882
0-500,0.41883183
0-500,0.41014385
0-500,0.40591145
0-500,0.39638424
0-500,0.39305782
0-500,0.38691902
0-500,0.38377
0-500,0.3877201
0-500,0.38574696
0-500,0.3836136
0-500,0.38657188
0-500,0.3949461
0-500,0.4014206
0-500,0.4020462
0-500,0.40640354
0-500,0.40873528
0-500,0.4104576
0-500,0.4015522
0-500,0.39723682
0-500,0.39869785
0-500,0.40181065
0-500,0.4051361
0-500,0.40328884
0-500,0.40633202
0-500,0.41098976
0-500,0.41787624
0-500,0.42331505
0-500,0.4305668
0-500,0.43763256
0-500,0.4432621
0-500,0.44368362
0-500,0.4486513
0-500,0.4572525
0-500,0.45490742
