Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.24356052,0.08015845,0.24656868,0.0040245056,0.48634434
500-1000,15774,0.22253154,0.08139708,0.22120953,-0.010837555,0.5094452
1000-1500,7047,0.22242157,0.085576646,0.21689034,0.002544403,0.5064602
1500-2000,1780,0.23554157,0.06500504,0.2327981,0.0367918,0.4587288
2000-2500,537,0.23447761,0.0587032,0.23045921,0.053798676,0.40863705
2500-3500,140,0.23543933,0.055749767,0.22714615,0.107180595,0.36759472
