Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.2771533,0.114491396,0.27480888,-0.010108948,0.5791111
500-1000,15774,0.2406884,0.09211783,0.24502754,-0.015132904,0.5142641
1000-1500,7047,0.24366511,0.097181596,0.24289131,-0.014320374,0.52796555
1500-2000,1780,0.25767034,0.070745446,0.25458813,0.024007797,0.5121269
2000-2500,537,0.24629556,0.060236514,0.24582863,0.05413246,0.4112606
2500-3500,140,0.24358869,0.052988227,0.23463869,0.13472176,0.3735919
