daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_maximum,p95,1981_2020,1981_2010,1,ENF,991,0.2920961110550989,0.32053184509277344,0.09399561509745004
daily_maximum,p95,1981_2020,1981_2010,2,EBF,158,0.14303656469417525,0.13524436950683594,0.08788641177935233
daily_maximum,p95,1981_2020,1981_2010,4,DBF,2922,0.31771045086891336,0.3181576728820801,0.09855208903805368
daily_maximum,p95,1981_2020,1981_2010,5,MF,3237,0.34336535430521664,0.351593017578125,0.06893887200567446
daily_maximum,p95,1981_2020,1981_2010,6,Closed Shrub,1,0.4373817443847656,0.4373817443847656,0.0
daily_maximum,p95,1981_2020,1981_2010,7,Open Shrub,3126,0.2031754556559479,0.18892765045166016,0.11379089637161036
daily_maximum,p95,1981_2020,1981_2010,8,Woody Savanna,3350,0.26820579187193916,0.2632627487182617,0.10009106473475662
daily_maximum,p95,1981_2020,1981_2010,9,Savanna,6465,0.2806200499508792,0.2902679443359375,0.10466818935034312
daily_maximum,p95,1981_2020,1981_2010,10,Grass,7890,0.26600503075409904,0.26471900939941406,0.1007256992009885
daily_maximum,p95,1981_2020,1981_2010,11,Wetland,20,0.35999670028686526,0.35980224609375,0.07474117247992408
daily_maximum,p95,1981_2020,1981_2010,12,Cropland,23648,0.30956644622334284,0.32667064666748047,0.10538250424196233
daily_maximum,p95,1981_2020,1981_2010,13,Urban,893,0.30718922161174916,0.3245277404785156,0.08485622803086815
daily_maximum,p95,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.2417653523274322,0.23239707946777344,0.08253959871137141
daily_maximum,p95,1981_2020,1981_2010,15,Snow/Ice,4,0.32850182056427,0.32505369186401367,0.0462747489490375
daily_maximum,p95,1981_2020,1981_2010,16,Barren,11917,0.15686595248847918,0.15250396728515625,0.054165932416063246
daily_maximum,p95,1981_2020,1981_2010,17,Water,1722,0.23906857460633388,0.23572635650634766,0.09574113662823511
daily_maximum,p95,1991_2020,1981_2010,1,ENF,991,0.4438263684300674,0.4817180633544922,0.12335368821730869
daily_maximum,p95,1991_2020,1981_2010,2,EBF,158,0.19382043428058865,0.18855857849121094,0.12479162990833148
daily_maximum,p95,1991_2020,1981_2010,4,DBF,2922,0.4838864938760767,0.4692697525024414,0.1332937464690476
daily_maximum,p95,1991_2020,1981_2010,5,MF,3237,0.5109569969683987,0.5242481231689453,0.09444717809229455
daily_maximum,p95,1991_2020,1981_2010,6,Closed Shrub,1,0.6307621002197266,0.6307621002197266,0.0
daily_maximum,p95,1991_2020,1981_2010,7,Open Shrub,3126,0.30296000897388614,0.2648000717163086,0.15471458591415113
daily_maximum,p95,1991_2020,1981_2010,8,Woody Savanna,3350,0.3941187269296219,0.39412784576416016,0.1447711090244432
daily_maximum,p95,1991_2020,1981_2010,9,Savanna,6465,0.4117528555472508,0.4138469696044922,0.14964051474210055
