Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.27695295,0.11300485,0.28588867,-0.04259491,0.6131687
500-1000,15774,0.24487649,0.10961398,0.25076962,-0.042617798,0.55083466
1000-1500,7047,0.2489224,0.10961704,0.23758507,-0.029994965,0.55358124
1500-2000,1780,0.27311027,0.081358016,0.26169205,0.0052719116,0.5380497
2000-2500,537,0.277295,0.07106014,0.27784538,0.064655304,0.5012274
2500-3500,140,0.28044567,0.068250276,0.26787233,0.12891006,0.4750538
