daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_mean,p95,1981_2020,1981_2010,9,Savanna,6465,0.23648035104018444,0.24592018127441406,0.08522343898361565
daily_mean,p95,1981_2020,1981_2010,10,Grass,7890,0.22952407094613378,0.22906875610351562,0.07492409012480127
daily_mean,p95,1981_2020,1981_2010,11,Wetland,20,0.3150776863098145,0.32039737701416016,0.03790331570629887
daily_mean,p95,1981_2020,1981_2010,12,Cropland,23648,0.2595108296213034,0.26897478103637695,0.0807693869185444
daily_mean,p95,1981_2020,1981_2010,13,Urban,893,0.24950613019714699,0.2585182189941406,0.06677352299129961
daily_mean,p95,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.2040330073726711,0.20053339004516602,0.0878128359238292
daily_mean,p95,1981_2020,1981_2010,15,Snow/Ice,4,0.27855515480041504,0.28887033462524414,0.04907630060710527
daily_mean,p95,1981_2020,1981_2010,16,Barren,11917,0.18509683779214886,0.17696762084960938,0.04543763507745388
daily_mean,p95,1981_2020,1981_2010,17,Water,1722,0.2255281266712007,0.2310647964477539,0.07529041108691803
daily_mean,p95,1991_2020,1981_2010,1,ENF,991,0.37471063346362377,0.3968658447265625,0.09531478379628752
daily_mean,p95,1991_2020,1981_2010,2,EBF,158,0.17985285384745536,0.14429378509521484,0.11346203904973604
daily_mean,p95,1991_2020,1981_2010,4,DBF,2922,0.43105509540628356,0.4391603469848633,0.09735573618042151
daily_mean,p95,1991_2020,1981_2010,5,MF,3237,0.43252730789396693,0.44086456298828125,0.0693580462310788
daily_mean,p95,1991_2020,1981_2010,6,Closed Shrub,1,0.46048545837402344,0.46048545837402344,0.0
daily_mean,p95,1991_2020,1981_2010,7,Open Shrub,3126,0.2752410009436629,0.2517662048339844,0.1215984795184243
daily_mean,p95,1991_2020,1981_2010,8,Woody Savanna,3350,0.3369974028174557,0.3581533432006836,0.12736001369179997
daily_mean,p95,1991_2020,1981_2010,9,Savanna,6465,0.3487832708867686,0.3592872619628906,0.12255189682799447
daily_mean,p95,1991_2020,1981_2010,10,Grass,7890,0.3635882317415511,0.3713874816894531,0.10998850961942144
daily_mean,p95,1991_2020,1981_2010,11,Wetland,20,0.49837617874145507,0.5094308853149414,0.05744383199236241
daily_mean,p95,1991_2020,1981_2010,12,Cropland,23648,0.4011862484866776,0.4229288101196289,0.113587140187413
daily_mean,p95,1991_2020,1981_2010,13,Urban,893,0.3979454980318383,0.42463111877441406,0.10121210889521132
daily_mean,p95,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.28761670393730276,0.29834938049316406,0.1361112863312159
daily_mean,p95,1991_2020,1981_2010,15,Snow/Ice,4,0.3628568947315216,0.38344478607177734,0.07886946912972813
daily_mean,p95,1991_2020,1981_2010,16,Barren,11917,0.32949600279146146,0.3287506103515625,0.08777024383856538
daily_mean,p95,1991_2020,1981_2010,17,Water,1722,0.3538942303807063,0.3499908447265625,0.11615254001285319
daily_mean,p97,1981_2020,1981_2010,1,ENF,991,0.24774697474105326,0.26248931884765625,0.07491212357553793
daily_mean,p97,1981_2020,1981_2010,2,EBF,158,0.12923279895058162,0.11549663543701172,0.06797734023415747
daily_mean,p97,1981_2020,1981_2010,4,DBF,2922,0.28967464663735976,0.29820728302001953,0.08269926556839284
daily_mean,p97,1981_2020,1981_2010,5,MF,3237,0.2947484438604214,0.3011026382446289,0.0570541611318303
daily_mean,p97,1981_2020,1981_2010,6,Closed Shrub,1,0.3743724822998047,0.3743724822998047,0.0
daily_mean,p97,1981_2020,1981_2010,7,Open Shrub,3126,0.18829673875697667,0.17687034606933594,0.09462786040751199
daily_mean,p97,1981_2020,1981_2010,8,Woody Savanna,3350,0.22974721481550986,0.23775815963745117,0.08973692009332229
daily_mean,p97,1981_2020,1981_2010,9,Savanna,6465,0.24123778590285677,0.2489643096923828,0.09099795356209037
daily_mean,p97,1981_2020,1981_2010,10,Grass,7890,0.2316155487593589,0.22900104522705078,0.08119984220638282
daily_mean,p97,1981_2020,1981_2010,11,Wetland,20,0.3277247905731201,0.33757495880126953,0.053042438512761726
daily_mean,p97,1981_2020,1981_2010,12,Cropland,23648,0.2592587270981888,0.26722002029418945,0.08391480334657618
daily_mean,p97,1981_2020,1981_2010,13,Urban,893,0.2631186990428211,0.27840232849121094,0.07132307794961716
daily_mean,p97,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.20623476113846054,0.21059179306030273,0.09177406842416125
daily_mean,p97,1981_2020,1981_2010,15,Snow/Ice,4,0.29742586612701416,0.30737829208374023,0.04238040846307825
daily_mean,p97,1981_2020,1981_2010,16,Barren,11917,0.18497786775395164,0.1749286651611328,0.053113532109539
daily_mean,p97,1981_2020,1981_2010,17,Water,1722,0.2233565593015026,0.22301197052001953,0.07763907803841916
