Elevation Zone,Value
0-500,0.085941315
0-500,0.08744812
0-500,0.101457596
0-500,0.09173775
0-500,0.08464241
0-500,0.0695076
0-500,0.065979004
0-500,0.07159996
0-500,0.07367134
0-500,0.07823944
0-500,0.073890686
0-500,0.07071304
0-500,0.07223892
0-500,0.07236862
0-500,0.06321716
0-500,0.047389984
0-500,0.03237152
0-500,0.02945137
0-500,0.025068283
0-500,0.029417038
0-500,0.032333374
0-500,0.027524948
0-500,0.021587372
0-500,0.027339935
0-500,0.028604507
0-500,0.030382156
0-500,0.029426575
0-500,0.08653259
0-500,0.08555412
0-500,0.07559013
0-500,0.082868576
0-500,0.099472046
0-500,0.10707855
0-500,0.11391258
0-500,0.12045479
0-500,0.1375885
0-500,0.16371346
0-500,0.17852592
0-500,0.16710281
0-500,0.1558609
0-500,0.14937973
0-500,0.1518631
0-500,0.15641975
0-500,0.16758156
0-500,0.1778717
0-500,0.20030785
0-500,0.2155056
0-500,0.22986412
0-500,0.24753761
0-500,0.27997208
0-500,0.2856598
0-500,0.2909794
0-500,0.29959106
0-500,0.31355667
0-500,0.32959366
0-500,0.32937813
0-500,0.3331375
0-500,0.35358238
0-500,0.35884857
0-500,0.36361885
0-500,0.37125778
0-500,0.37939835
0-500,0.38193703
0-500,0.39004898
0-500,0.3900318
0-500,0.39243507
0-500,0.38791847
0-500,0.37732124
0-500,0.3697071
0-500,0.3722496
0-500,0.3761196
0-500,0.3827057
0-500,0.39297676
0-500,0.3942852
0-500,0.3997326
0-500,0.4030609
0-500,0.4043045
0-500,0.40325165
0-500,0.391222
0-500,0.39205742
0-500,0.38596344
0-500,0.37210083
0-500,0.34806252
0-500,0.31328392
0-500,0.31419182
0-500,0.3414116
0-500,0.34697342
0-500,0.33899117
0-500,0.34881592
0-500,0.35778427
0-500,0.3642769
0-500,0.50499344
0-500,0.5129223
0-500,0.52731895
0-500,0.52544975
0-500,0.52573967
0-500,0.5327225
0-500,0.5288944
0-500,0.5306492
0-500,0.5372753
0-500,0.5477619
0-500,0.55389214
0-500,0.5562
0-500,0.56755257
0-500,0.5840931
0-500,0.6077709
0-500,0.60331726
0-500,0.5858574
0-500,0.5729389
0-500,0.5717716
0-500,0.59062195
0-500,0.57938766
0-500,0.56041145
0-500,0.56456566
0-500,0.56407547
0-500,0.5549278
0-500,0.5397339
0-500,0.52527237
0-500,0.51480865
0-500,0.5018177
0-500,0.48841858
0-500,0.47935295
0-500,0.481102
0-500,0.49907112
0-500,0.5129242
0-500,0.5231743
0-500,0.5166397
0-500,0.5184822
0-500,0.5221386
0-500,0.50933075
0-500,0.4915352
0-500,0.47058868
0-500,0.450037
0-500,0.4314003
0-500,0.41383743
0-500,0.40176392
0-500,0.39736176
0-500,0.399395
0-500,0.40717125
0-500,0.42069054
0-500,0.43078613
0-500,0.43639755
0-500,0.43226242
0-500,0.42570305
0-500,0.4214058
0-500,0.42384338
0-500,0.41506958
0-500,0.41074753
0-500,0.4066658
0-500,0.39225006
0-500,0.36813736
0-500,0.36613846
0-500,0.37417984
0-500,0.3856392
0-500,0.38863564
0-500,0.39177132
0-500,0.39887047
0-500,0.3980713
0-500,0.38840675
0-500,0.38386345
0-500,0.38049507
0-500,0.3817253
0-500,0.3816738
0-500,0.38367653
0-500,0.3850193
0-500,0.39015198
0-500,0.4050827
0-500,0.41947746
0-500,0.43367767
0-500,0.45392418
0-500,0.4682827
0-500,0.46953583
0-500,0.47245407
0-500,0.46863174
0-500,0.4587307
0-500,0.44888306
0-500,0.43219185
0-500,0.41680527
0-500,0.4031334
0-500,0.39330292
0-500,0.3821144
0-500,0.3819275
0-500,0.38232803
0-500,0.3847313
0-500,0.3967209
0-500,0.40532494
0-500,0.40172005
0-500,0.40411377
0-500,0.4112816
0-500,0.408432
0-500,0.41038895
0-500,0.412117
0-500,0.41724586
0-500,0.418705
0-500,0.41579056
0-500,0.4188671
0-500,0.42835236
0-500,0.42471313
0-500,0.42674828
0-500,0.43614197
0-500,0.4410019
0-500,0.44421196
0-500,0.45560265
0-500,0.4686966
0-500,0.4812832
0-500,0.49660683
0-500,0.503891
0-500,0.49886513
0-500,0.4886589
0-500,0.48638344
0-500,0.4755993
0-500,0.46505737
0-500,0.45928955
0-500,0.45280838
0-500,0.44272804
0-500,0.45067596
0-500,0.46891022
0-500,0.49271393
0-500,0.5167961
0-500,0.53158
0-500,0.53518486
0-500,0.5330734
0-500,0.5274162
0-500,0.5218029
0-500,0.51402855
0-500,0.5126877
0-500,0.5135803
0-500,0.51686096
0-500,0.52196693
0-500,0.5301914
0-500,0.5248108
0-500,0.519577
0-500,0.5155678
0-500,0.49748802
0-500,0.46936417
0-500,0.4451809
0-500,0.42321014
0-500,0.40967178
0-500,0.4053917
0-500,0.4081173
0-500,0.40900612
0-500,0.40436745
0-500,0.3963623
0-500,0.38822746
0-500,0.38256645
0-500,0.3805027
0-500,0.37200165
0-500,0.36338997
0-500,0.36333656
0-500,0.3679409
0-500,0.37034988
0-500,0.37302208
0-500,0.37387466
0-500,0.37853432
0-500,0.38577652
0-500,0.39883614
0-500,0.4028244
0-500,0.40758514
0-500,0.41132927
0-500,0.41609955
0-500,0.4269066
0-500,0.43661118
0-500,0.4415226
0-500,0.44096947
0-500,0.44184113
0-500,0.44141388
0-500,0.4431858
0-500,0.4427147
0-500,0.44021034
0-500,0.43961716
0-500,0.43421364
0-500,0.42997932
0-500,0.42264557
0-500,0.40517616
0-500,0.39081955
0-500,0.38860512
0-500,0.3861637
0-500,0.37550354
0-500,0.3637905
0-500,0.35827637
0-500,0.34854126
0-500,0.3491745
0-500,0.35593987
0-500,0.37444115
0-500,0.3905239
0-500,0.403368
0-500,0.40308762
0-500,0.40571213
