Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.3768184,0.14719094,0.38155556,-0.20320511,0.9066639
500-1000,15774,0.33160967,0.15559241,0.32781506,-0.14513588,0.9187107
1000-1500,7047,0.34955058,0.17398635,0.36946106,-0.049503326,0.9084625
1500-2000,1780,0.3954799,0.1425349,0.41218233,-0.02545929,0.841238
2000-2500,537,0.3847802,0.1283297,0.39149094,0.052906036,0.76046276
2500-3500,140,0.40948454,0.14144866,0.39425993,0.104002,0.7215042
