Elevation Zone,Value
0-500,0.085941315
0-500,0.087444305
0-500,0.10146141
0-500,0.09175491
0-500,0.0846405
0-500,0.069509506
0-500,0.0659771
0-500,0.07159996
0-500,0.07366943
0-500,0.07824135
0-500,0.073890686
0-500,0.07071495
0-500,0.07224083
0-500,0.07237244
0-500,0.06321716
0-500,0.047389984
0-500,0.03237343
0-500,0.02945137
0-500,0.025068283
0-500,0.02941513
0-500,0.032333374
0-500,0.027528763
0-500,0.021587372
0-500,0.027339935
0-500,0.028606415
0-500,0.030382156
0-500,0.029426575
0-500,0.08653641
0-500,0.08555412
0-500,0.07559013
0-500,0.08286667
0-500,0.09947014
0-500,0.10707283
0-500,0.11391258
0-500,0.12045479
0-500,0.13759422
0-500,0.16371536
0-500,0.17852783
0-500,0.16711044
0-500,0.15585709
0-500,0.14937782
0-500,0.151865
0-500,0.15641975
0-500,0.16758156
0-500,0.17786789
0-500,0.20030785
0-500,0.2155037
0-500,0.22986221
0-500,0.24753952
0-500,0.27997208
0-500,0.2856617
0-500,0.2909794
0-500,0.29959106
0-500,0.31355476
0-500,0.32959366
0-500,0.32938004
0-500,0.3331356
0-500,0.35358238
0-500,0.35884857
0-500,0.36362267
0-500,0.37125778
0-500,0.37939644
0-500,0.38194656
0-500,0.39004898
0-500,0.39003372
0-500,0.39243507
0-500,0.38791656
0-500,0.37731552
0-500,0.369709
0-500,0.3722496
0-500,0.3761177
0-500,0.3827076
0-500,0.39297867
0-500,0.3942833
0-500,0.3997345
0-500,0.4030609
0-500,0.4043064
0-500,0.40324974
0-500,0.3912182
0-500,0.39206696
0-500,0.38597107
0-500,0.37211037
0-500,0.34806252
0-500,0.31328773
0-500,0.31419563
0-500,0.3414154
0-500,0.34697342
0-500,0.33898926
0-500,0.348814
0-500,0.35778046
0-500,0.3642788
0-500,0.50499535
0-500,0.5129223
0-500,0.52731895
0-500,0.52545166
0-500,0.5257416
0-500,0.5327244
0-500,0.52889633
0-500,0.5306511
0-500,0.5372715
0-500,0.5477619
0-500,0.5538902
0-500,0.5561943
0-500,0.5675564
0-500,0.5840931
0-500,0.6077728
0-500,0.60331917
0-500,0.5858574
0-500,0.5729408
0-500,0.57177925
0-500,0.59062386
0-500,0.57938766
0-500,0.56040955
0-500,0.56456184
0-500,0.5640793
0-500,0.55493164
0-500,0.5397339
0-500,0.5252743
0-500,0.51481056
0-500,0.5018196
0-500,0.4884205
0-500,0.47935295
0-500,0.48110008
0-500,0.4990654
0-500,0.51291275
0-500,0.5231705
0-500,0.5166397
0-500,0.5184841
0-500,0.5221386
0-500,0.50932693
0-500,0.49153328
0-500,0.47058105
0-500,0.4500389
0-500,0.4314022
0-500,0.41383743
0-500,0.401762
0-500,0.39735985
0-500,0.3993969
0-500,0.40717125
0-500,0.42069244
0-500,0.43079376
0-500,0.43639755
0-500,0.43226242
0-500,0.42570305
0-500,0.4214058
0-500,0.4238472
0-500,0.4150715
0-500,0.41074753
0-500,0.406662
0-500,0.39224434
0-500,0.36813545
0-500,0.3661461
0-500,0.37418175
0-500,0.3856392
0-500,0.38863373
0-500,0.3917694
0-500,0.39886856
0-500,0.3980713
0-500,0.38840294
0-500,0.38386536
0-500,0.38049507
0-500,0.3817234
0-500,0.3816719
0-500,0.38368034
0-500,0.3850193
0-500,0.39014435
0-500,0.4050808
0-500,0.41948128
0-500,0.43367386
0-500,0.4539261
0-500,0.46827888
0-500,0.46953392
0-500,0.47245407
0-500,0.46862602
0-500,0.45872688
0-500,0.44887924
0-500,0.43219185
0-500,0.41680908
0-500,0.4031334
0-500,0.39330292
0-500,0.3821106
0-500,0.3819294
0-500,0.38232613
0-500,0.38472748
0-500,0.39671707
0-500,0.4053154
0-500,0.40171814
0-500,0.40411377
0-500,0.4112816
0-500,0.408432
0-500,0.41039848
0-500,0.4121189
0-500,0.41724396
0-500,0.41870308
0-500,0.41578865
0-500,0.41887093
0-500,0.42835045
0-500,0.42471695
0-500,0.42674637
0-500,0.43613815
0-500,0.44099808
0-500,0.44421577
0-500,0.4555931
0-500,0.4686947
0-500,0.4812851
0-500,0.49660492
0-500,0.503891
0-500,0.49886703
0-500,0.4886589
0-500,0.48637962
0-500,0.4755993
0-500,0.4650631
0-500,0.45928955
0-500,0.4528103
0-500,0.44272804
0-500,0.45067787
0-500,0.4689045
0-500,0.49271584
0-500,0.5167942
0-500,0.53158
0-500,0.53518677
0-500,0.5330734
0-500,0.52741814
0-500,0.5218067
0-500,0.5140343
0-500,0.5126896
0-500,0.5135803
0-500,0.51686096
0-500,0.521965
0-500,0.5301838
0-500,0.5248127
0-500,0.51957893
0-500,0.5155659
0-500,0.4974842
0-500,0.46936607
0-500,0.445179
0-500,0.42320633
0-500,0.4096737
0-500,0.40538788
0-500,0.4081173
0-500,0.4090023
0-500,0.40436363
0-500,0.3963604
0-500,0.38822556
0-500,0.38256645
0-500,0.3805008
0-500,0.37200165
0-500,0.36338425
0-500,0.36333656
0-500,0.3679409
0-500,0.37034798
0-500,0.3730259
0-500,0.37387466
