Elevation Zone,count,mean,std,median,min,max
0-500,41635,0.27695298,0.113004856,0.28588867,-0.042596817,0.6131687
500-1000,15774,0.24487653,0.10961398,0.25076962,-0.042617798,0.55083466
1000-1500,7047,0.24892244,0.10961705,0.23758507,-0.029994965,0.55358124
1500-2000,1780,0.2731103,0.08135805,0.26169205,0.0052700043,0.5380497
2000-2500,537,0.27729505,0.071060196,0.27784157,0.06465912,0.5012274
2500-3500,140,0.2804458,0.06825018,0.26787257,0.12891006,0.47505474
