Elevation Zone,Value
0-500,0.090724945
0-500,0.08979225
0-500,0.07518387
0-500,0.07910538
0-500,0.07156181
0-500,0.053878784
0-500,0.045118332
0-500,0.052906036
0-500,0.054777145
0-500,0.048555374
0-500,0.03876686
0-500,0.039873123
0-500,0.04253006
0-500,0.04439354
0-500,0.043640137
0-500,0.023042679
0-500,0.010969162
0-500,0.010942459
0-500,0.00598526
0-500,0.010627747
0-500,0.014608383
0-500,0.02171135
0-500,0.026853561
0-500,0.027584076
0-500,0.030139923
0-500,0.034591675
0-500,0.036481857
0-500,0.092243195
0-500,0.09586334
0-500,0.10515213
0-500,0.116449356
0-500,0.12239647
0-500,0.1273632
0-500,0.13730621
0-500,0.14145851
0-500,0.15991592
0-500,0.19451523
0-500,0.20906258
0-500,0.20646667
0-500,0.19875526
0-500,0.19149971
0-500,0.19673729
0-500,0.19480705
0-500,0.18392944
0-500,0.1774292
0-500,0.19684029
0-500,0.2055893
0-500,0.20654297
0-500,0.22017288
0-500,0.24047661
0-500,0.24207497
0-500,0.24668884
0-500,0.2526512
0-500,0.26024055
0-500,0.2709942
0-500,0.26933098
0-500,0.2680378
0-500,0.28068352
0-500,0.28607178
0-500,0.2917061
0-500,0.29994583
0-500,0.3024025
0-500,0.3050804
0-500,0.30174065
0-500,0.29994392
0-500,0.30044174
0-500,0.30415535
0-500,0.30140305
0-500,0.29688644
0-500,0.29906845
0-500,0.30257988
0-500,0.3021431
0-500,0.30078316
0-500,0.2879963
0-500,0.28164482
0-500,0.28486443
0-500,0.28605652
0-500,0.28118134
0-500,0.29400253
0-500,0.2994976
0-500,0.3033657
0-500,0.29655075
0-500,0.2866211
0-500,0.26286507
0-500,0.25770187
0-500,0.27919197
0-500,0.27953148
0-500,0.2702675
0-500,0.27731705
0-500,0.28613472
0-500,0.2822628
0-500,0.34267807
0-500,0.36270714
0-500,0.38370895
0-500,0.382576
0-500,0.38093567
0-500,0.37962532
0-500,0.3731823
0-500,0.37273216
0-500,0.37358093
0-500,0.38097954
0-500,0.38571167
0-500,0.3803482
0-500,0.38245392
0-500,0.3967228
0-500,0.41070366
0-500,0.4059658
0-500,0.39819145
0-500,0.39678383
0-500,0.39120483
0-500,0.39735794
0-500,0.3840313
0-500,0.37745476
0-500,0.3762455
0-500,0.36959648
0-500,0.3603592
0-500,0.3509903
0-500,0.33838654
0-500,0.32868958
0-500,0.3275528
0-500,0.33218765
0-500,0.3334732
0-500,0.32966042
0-500,0.34293365
0-500,0.34945488
0-500,0.3515873
0-500,0.3460331
0-500,0.34492874
0-500,0.35507393
0-500,0.35126495
0-500,0.33231163
0-500,0.3188076
0-500,0.30993843
0-500,0.30230904
0-500,0.289793
0-500,0.2890396
0-500,0.2887764
0-500,0.29388237
0-500,0.30924034
0-500,0.31789398
0-500,0.3277874
0-500,0.32977676
0-500,0.32737923
0-500,0.3209076
0-500,0.3129635
0-500,0.312788
0-500,0.30669594
0-500,0.3026886
0-500,0.2981434
0-500,0.29576302
0-500,0.2791443
0-500,0.27933502
0-500,0.27852058
0-500,0.28922272
0-500,0.3037014
0-500,0.31618118
0-500,0.32147217
0-500,0.31439972
0-500,0.29921532
0-500,0.29702568
0-500,0.30291367
0-500,0.30220604
0-500,0.29927444
0-500,0.3027153
0-500,0.30906677
0-500,0.31687737
0-500,0.33096886
0-500,0.35043907
