filename,percentile,baseline,LC_code,LC_name,count,mean,median,std
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,9,Savanna,6465,0.39544003435741165,0.3864612579345703,0.14974827903820423
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,10,Grass,7890,0.4109274288849534,0.4173564910888672,0.14466071639556582
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,11,Wetland,20,0.5686211585998535,0.549102783203125,0.1239435127691037
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,12,Cropland,23648,0.4573745708988226,0.46919822692871094,0.14649583764457272
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,13,Urban,893,0.46313517998741294,0.4783649444580078,0.11963407643211313
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,14,Crop/Nat Mosaic,1072,0.33049651757994697,0.31145381927490234,0.13363057978520254
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,15,Snow/Ice,4,0.41378700733184814,0.4002647399902344,0.07067829317003088
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,16,Barren,11917,0.29163055026992374,0.2748432159423828,0.09044634683339191
p97_baseline_1991_2020_minus_1981_2010.tif,p97,1991_2020,17,Water,1722,0.36865653393575953,0.36653614044189453,0.14523316413346732
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,1,ENF,991,0.2877102812411927,0.30966758728027344,0.09960197017933252
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,2,EBF,158,0.14514396764055082,0.14034080505371094,0.09227183135860971
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,4,DBF,2922,0.31451897911630533,0.3246421813964844,0.10299308995580306
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,5,MF,3237,0.3402358771917221,0.3470497131347656,0.07399557643586237
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,6,Closed Shrub,1,0.48258018493652344,0.48258018493652344,0.0
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,7,Open Shrub,3126,0.20348312087495282,0.18105602264404297,0.1273206583859604
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,8,Woody Savanna,3350,0.26559290558544557,0.2633953094482422,0.10066434288279502
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,9,Savanna,6465,0.2822740907366665,0.28966712951660156,0.10810033577152643
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,10,Grass,7890,0.2722663661826246,0.27244091033935547,0.11038597505510452
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,11,Wetland,20,0.3616039276123047,0.3458395004272461,0.07630326921804977
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,12,Cropland,23648,0.302917379447346,0.31661128997802734,0.10789436874928239
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,13,Urban,893,0.3095239252686367,0.32476806640625,0.09019010648718416
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,14,Crop/Nat Mosaic,1072,0.24846056681960377,0.2348794937133789,0.08167303895448348
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,15,Snow/Ice,4,0.3359030485153198,0.31522512435913086,0.04413381074711921
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,16,Barren,11917,0.15421725543861553,0.1500244140625,0.05701254777002469
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,17,Water,1722,0.23660574335946716,0.2330636978149414,0.09759532438608813
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,1,ENF,991,0.3851016349677,0.3977031707763672,0.1223753948900341
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,2,EBF,158,0.19149016126801696,0.17543601989746094,0.11447142000522101
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,4,DBF,2922,0.3846894580154367,0.3798255920410156,0.13384516935423452
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,5,MF,3237,0.42828633264512755,0.43548011779785156,0.12132468619303385
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,6,Closed Shrub,1,0.5804443359375,0.5804443359375,0.0
