daily_stat,percentile,baseline,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable
daily_maximum,p95,1981_2020,0.05,1,ENF,17,0.005043013942450311,0.008247845711940911,0.6114340784950949,-0.0032048317694905997,False
daily_maximum,p95,1981_2020,0.05,4,DBF,359,0.10649658854939187,0.024160853508411982,4.407815663975339,0.08233573504097988,True
daily_maximum,p95,1981_2020,0.05,5,MF,206,0.06110946306733907,0.02656544932293804,2.3003361367795074,0.034544013744401025,True
daily_maximum,p95,1981_2020,0.05,7,Open Shrub,115,0.03411450608128152,0.025736561345917112,1.3255269662003037,0.008377944735364407,True
daily_maximum,p95,1981_2020,0.05,8,Woody Savanna,166,0.04924354790863245,0.02796060730406237,1.76117590627146,0.02128294060457008,True
daily_maximum,p95,1981_2020,0.05,9,Savanna,329,0.09759715218036191,0.053992613869511694,1.8076019141476058,0.04360453831085022,True
daily_maximum,p95,1981_2020,0.05,10,Grass,297,0.08810442005339662,0.06569552728764874,1.341102259026406,0.02240889276574788,True
daily_maximum,p95,1981_2020,0.05,11,Wetland,5,0.0014832393948383269,0.00019696347968814116,7.530530010877089,0.0012862759151501858,False
daily_maximum,p95,1981_2020,0.05,12,Cropland,1791,0.5312963512310886,0.1954616331555191,2.718161833879504,0.3358347180755695,True
daily_maximum,p95,1981_2020,0.05,13,Urban,23,0.006822901216256304,0.007558473533032417,0.9026824247566021,-0.0007355723167761135,False
daily_maximum,p95,1981_2020,0.05,14,Crop/Nat Mosaic,20,0.0059329575793533075,0.008961838325810422,0.662024616340843,-0.0030288807464571143,False
daily_maximum,p95,1981_2020,0.05,16,Barren,3,0.0008899436369029962,0.09854739433729996,0.009030615602650739,-0.09765745070039697,False
daily_maximum,p95,1981_2020,0.05,17,Water,40,0.011865915158706615,0.45545342634386543,0.026052971549604502,-0.4435875111851588,True
daily_maximum,p95,1981_2020,0.1,1,ENF,64,0.009492732126965293,0.008247845711940911,1.1509347359907671,0.0012448864150243818,False
daily_maximum,p95,1981_2020,0.1,4,DBF,564,0.08365470186888163,0.024160853508411982,3.4624067332619655,0.05949384836046965,True
daily_maximum,p95,1981_2020,0.1,5,MF,422,0.0625927024621774,0.02656544932293804,2.356169538157651,0.03602725313923935,True
daily_maximum,p95,1981_2020,0.1,6,Closed Shrub,1,0.0001483239394838327,8.206811653672548e-06,18.073272026105016,0.00014011712783016015,False
daily_maximum,p95,1981_2020,0.1,7,Open Shrub,214,0.03174132304954019,0.025736561345917112,1.2333163946385435,0.006004761703623081,True
