percentile,baseline,LC_code,LC_name,Elevation,count,mean,median,std
p97,1981_2020,2,EBF,0_500,134,0.14474058862942368,0.1381053924560547,0.09433430096965514
p97,1981_2020,2,EBF,500_1000,23,0.1477091416068699,0.14196014404296875,0.08144564985916769
p97,1981_2020,2,EBF,1000_1500,1,0.14019775390625,0.14019775390625,0.0
p97,1981_2020,4,DBF,0_500,1278,0.33249115384240663,0.3421182632446289,0.10071132535434855
p97,1981_2020,4,DBF,500_1000,1276,0.30561556412508495,0.31812381744384766,0.10517986578029936
p97,1981_2020,4,DBF,1000_1500,361,0.2824459789202154,0.28204917907714844,0.09017432491586634
p97,1981_2020,4,DBF,1500_2000,7,0.31032916477748324,0.2861289978027344,0.11703655772078275
p97,1981_2020,5,MF,0_500,1403,0.3600414749221639,0.36350250244140625,0.06106561576126984
p97,1981_2020,5,MF,500_1000,1186,0.3243551559834215,0.3313894271850586,0.07378280407549176
p97,1981_2020,5,MF,1000_1500,599,0.3257998926611695,0.3403053283691406,0.08870469847913316
p97,1981_2020,5,MF,1500_2000,49,0.33399988680469744,0.3434333801269531,0.08403038549069687
p97,1981_2020,6,Closed Shrub,500_1000,1,0.48258018493652344,0.48258018493652344,0.0
p97,1981_2020,7,Open Shrub,0_500,614,0.22747313160849705,0.2081308364868164,0.10125128333147759
p97,1981_2020,7,Open Shrub,500_1000,1188,0.2297110059847334,0.21432876586914062,0.15275610278448548
p97,1981_2020,7,Open Shrub,1000_1500,968,0.14931796010860726,0.1173553466796875,0.1087733868168494
p97,1981_2020,7,Open Shrub,1500_2000,293,0.2219320824528717,0.2174091339111328,0.05643266433950542
p97,1981_2020,7,Open Shrub,2000_2500,56,0.21905044146946498,0.22620773315429688,0.04746700563306757
p97,1981_2020,7,Open Shrub,2500_3500,6,0.2316757837931315,0.21497440338134766,0.03635851680708185
p97,1981_2020,8,Woody Savanna,0_500,1505,0.2643109318425885,0.26143836975097656,0.10130036591475129
p97,1981_2020,8,Woody Savanna,500_1000,1206,0.2461536385329011,0.2429037094116211,0.09691748464039215
p97,1981_2020,8,Woody Savanna,1000_1500,559,0.2998669544144905,0.3109588623046875,0.09592845365534125
p97,1981_2020,8,Woody Savanna,1500_2000,72,0.33653239409128827,0.3551778793334961,0.07417656311353868
p97,1981_2020,9,Savanna,0_500,4104,0.28468879482202364,0.29118919372558594,0.10272445915466526
p97,1981_2020,9,Savanna,500_1000,1843,0.27229680306097764,0.28082275390625,0.11281030375897404
p97,1981_2020,9,Savanna,1000_1500,493,0.2979374009261992,0.29987525939941406,0.1281957946250229
