percentile,baseline,top_frac,LC_code,LC_name,count,fraction
p97,1991_2020,0.1,6,Closed Shrub,1,0.0001483239394838327
p97,1991_2020,0.1,7,Open Shrub,223,0.03307623850489469
p97,1991_2020,0.1,8,Woody Savanna,200,0.029664787896766538
p97,1991_2020,0.1,9,Savanna,562,0.08335805398991397
p97,1991_2020,0.1,10,Grass,741,0.10990803915752002
p97,1991_2020,0.1,11,Wetland,7,0.0010382675763868287
p97,1991_2020,0.1,12,Cropland,3911,0.5800949273212697
p97,1991_2020,0.1,13,Urban,90,0.013349154553544943
p97,1991_2020,0.1,14,Crop/Nat Mosaic,31,0.004598042123998813
p97,1991_2020,0.1,16,Barren,24,0.0035597745476119848
p97,1991_2020,0.1,17,Water,83,0.012310886977158113
p99,1981_2020,0.05,1,ENF,29,0.008602788490062296
p99,1981_2020,0.05,4,DBF,103,0.030554731533669534
p99,1981_2020,0.05,5,MF,171,0.05072678730347078
p99,1981_2020,0.05,6,Closed Shrub,1,0.0002966478789676654
p99,1981_2020,0.05,7,Open Shrub,201,0.05962622367250074
p99,1981_2020,0.05,8,Woody Savanna,62,0.018392168495995252
p99,1981_2020,0.05,9,Savanna,470,0.13942450311480273
p99,1981_2020,0.05,10,Grass,619,0.18362503708098488
p99,1981_2020,0.05,11,Wetland,6,0.0017798872738059924
p99,1981_2020,0.05,12,Cropland,1618,0.4799762681696826
p99,1981_2020,0.05,13,Urban,30,0.008899436369029961
p99,1981_2020,0.05,14,Crop/Nat Mosaic,19,0.005636309700385643
p99,1981_2020,0.05,15,Snow/Ice,1,0.0002966478789676654
p99,1981_2020,0.05,16,Barren,16,0.004746366063482646
p99,1981_2020,0.05,17,Water,25,0.007416196974191634
p99,1981_2020,0.1,1,ENF,67,0.009936230164615156
p99,1981_2020,0.1,2,EBF,1,0.00014830194275545008
p99,1981_2020,0.1,4,DBF,278,0.04122794008601513
p99,1981_2020,0.1,5,MF,402,0.05961738098769094
p99,1981_2020,0.1,6,Closed Shrub,1,0.00014830194275545008
p99,1981_2020,0.1,7,Open Shrub,286,0.04241435562805873
p99,1981_2020,0.1,8,Woody Savanna,181,0.02684265163873647
p99,1981_2020,0.1,9,Savanna,820,0.12160759305946908
p99,1981_2020,0.1,10,Grass,1142,0.169360818626724
p99,1981_2020,0.1,11,Wetland,6,0.0008898116565327006
p99,1981_2020,0.1,12,Cropland,3314,0.4914726382915616
p99,1981_2020,0.1,13,Urban,122,0.01809283701616491
p99,1981_2020,0.1,14,Crop/Nat Mosaic,52,0.007711701023283405
p99,1981_2020,0.1,15,Snow/Ice,2,0.00029660388551090017
p99,1981_2020,0.1,16,Barren,17,0.002521133026842652
p99,1981_2020,0.1,17,Water,52,0.007711701023283405
p99,1991_2020,0.05,1,ENF,15,0.004449718184514981
p99,1991_2020,0.05,4,DBF,124,0.036784336991990504
p99,1991_2020,0.05,5,MF,152,0.04509047760308514
p99,1991_2020,0.05,7,Open Shrub,140,0.041530703055473156
p99,1991_2020,0.05,8,Woody Savanna,81,0.024028478196380897
p99,1991_2020,0.05,9,Savanna,318,0.09433402551171759
p99,1991_2020,0.05,10,Grass,585,0.17353900919608425
p99,1991_2020,0.05,11,Wetland,6,0.0017798872738059924
p99,1991_2020,0.05,12,Cropland,1814,0.538119252447345
p99,1991_2020,0.05,13,Urban,64,0.018985464253930585
p99,1991_2020,0.05,14,Crop/Nat Mosaic,9,0.0026698309107089885
p99,1991_2020,0.05,16,Barren,8,0.002373183031741323
p99,1991_2020,0.05,17,Water,55,0.016315633343221597
p99,1991_2020,0.1,1,ENF,59,0.008751112429546128
p99,1991_2020,0.1,4,DBF,322,0.04776030851379413
p99,1991_2020,0.1,5,MF,333,0.04939187184811629
p99,1991_2020,0.1,6,Closed Shrub,1,0.0001483239394838327
p99,1991_2020,0.1,7,Open Shrub,223,0.03307623850489469
p99,1991_2020,0.1,8,Woody Savanna,129,0.01913378819341442
p99,1991_2020,0.1,9,Savanna,705,0.10456837733610205
p99,1991_2020,0.1,10,Grass,1162,0.1723524176802136
p99,1991_2020,0.1,11,Wetland,7,0.0010382675763868287
p99,1991_2020,0.1,12,Cropland,3442,0.5105309997033521
p99,1991_2020,0.1,13,Urban,195,0.028923168199347375
p99,1991_2020,0.1,14,Crop/Nat Mosaic,55,0.008157816671610798
p99,1991_2020,0.1,15,Snow/Ice,1,0.0001483239394838327
p99,1991_2020,0.1,16,Barren,23,0.003411450608128152
p99,1991_2020,0.1,17,Water,85,0.012607534856125778
