Elevation Zone,Value
0-500,0.045108795
0-500,0.046035767
0-500,0.0593853
0-500,0.05187416
0-500,0.03835678
0-500,0.03445244
0-500,0.027784348
0-500,0.014345169
0-500,0.009513855
0-500,0.01134491
0-500,0.02219963
0-500,0.027809143
0-500,0.040367126
0-500,0.054151535
0-500,0.05105591
0-500,0.054246902
0-500,0.056459427
0-500,0.055290222
0-500,0.044128418
0-500,0.041496277
0-500,0.050527573
0-500,0.059885025
0-500,0.05717945
0-500,0.048368454
0-500,0.048319817
0-500,0.05598259
0-500,0.06407452
0-500,0.11338997
0-500,0.11062622
0-500,0.1145401
0-500,0.11370087
0-500,0.13014793
0-500,0.1377163
0-500,0.14335632
0-500,0.14452553
0-500,0.1636219
0-500,0.17256927
0-500,0.16531563
0-500,0.16660118
0-500,0.17870522
0-500,0.17079735
0-500,0.16620064
0-500,0.16295052
0-500,0.16711044
0-500,0.16712189
0-500,0.16794777
0-500,0.17852783
0-500,0.17952156
0-500,0.19021606
0-500,0.19742584
0-500,0.20460701
0-500,0.21804428
0-500,0.22514534
0-500,0.23498917
0-500,0.23578072
0-500,0.23640251
0-500,0.23703003
0-500,0.2372303
0-500,0.2421341
0-500,0.24354553
0-500,0.24956131
0-500,0.2533779
0-500,0.25963593
0-500,0.26849174
0-500,0.27685928
0-500,0.28342628
0-500,0.28837395
0-500,0.2934475
0-500,0.2968197
0-500,0.30218124
0-500,0.30449867
0-500,0.3089409
0-500,0.32083702
0-500,0.32564354
0-500,0.3291378
0-500,0.33237648
0-500,0.33935738
0-500,0.33702087
0-500,0.33125114
0-500,0.3252697
0-500,0.32639122
0-500,0.31822014
0-500,0.293602
0-500,0.26575089
0-500,0.25300598
0-500,0.24992943
0-500,0.2507782
0-500,0.2508793
0-500,0.2529049
0-500,0.25357437
0-500,0.2637806
0-500,0.41498756
0-500,0.41146088
0-500,0.4248581
0-500,0.42959213
0-500,0.43932533
0-500,0.44437218
0-500,0.44629097
0-500,0.44111633
0-500,0.43727684
0-500,0.4274845
0-500,0.41959572
0-500,0.42234802
0-500,0.43278694
0-500,0.4369812
0-500,0.4484787
0-500,0.45381165
0-500,0.4583168
0-500,0.4597702
0-500,0.46144867
0-500,0.45781898
0-500,0.46608353
0-500,0.47691536
0-500,0.49545288
0-500,0.5073147
0-500,0.51494026
0-500,0.5240917
0-500,0.53237915
0-500,0.5356941
0-500,0.5342617
0-500,0.5351677
0-500,0.5362892
0-500,0.5434036
0-500,0.55160713
0-500,0.548296
0-500,0.54471016
0-500,0.53865623
0-500,0.5350933
0-500,0.5413685
0-500,0.5408802
0-500,0.54206085
0-500,0.53520775
0-500,0.53681755
0-500,0.53972244
0-500,0.5366707
0-500,0.53421783
0-500,0.54558945
0-500,0.54803276
0-500,0.5459156
0-500,0.5437622
0-500,0.5473709
0-500,0.5426922
0-500,0.5409069
0-500,0.52955437
0-500,0.53466034
0-500,0.5422783
0-500,0.52884674
0-500,0.5286255
0-500,0.54031944
0-500,0.54076004
0-500,0.5278301
0-500,0.52430916
0-500,0.52471924
0-500,0.5179138
0-500,0.50948334
0-500,0.5026722
0-500,0.5096054
0-500,0.5232525
0-500,0.5244694
0-500,0.5243015
0-500,0.5278797
0-500,0.5271263
0-500,0.53279495
0-500,0.5338249
0-500,0.53440285
0-500,0.53783226
0-500,0.5435543
0-500,0.54774475
0-500,0.5486717
0-500,0.55599403
0-500,0.5620785
0-500,0.5624962
0-500,0.56158257
0-500,0.55130005
0-500,0.5367775
0-500,0.52477264
0-500,0.5081177
0-500,0.48846626
0-500,0.47296524
0-500,0.4637375
0-500,0.45540428
0-500,0.454813
0-500,0.459383
0-500,0.45867348
0-500,0.47317314
0-500,0.48124695
0-500,0.47968483
0-500,0.48298454
0-500,0.4903965
0-500,0.48718262
0-500,0.48899078
0-500,0.4873047
0-500,0.4881935
0-500,0.4968071
0-500,0.5047951
0-500,0.51407623
0-500,0.52002907
0-500,0.5185051
0-500,0.52309036
0-500,0.5281925
0-500,0.53405
0-500,0.53598404
0-500,0.54434204
0-500,0.5485306
0-500,0.5550957
0-500,0.55786324
0-500,0.55386925
0-500,0.54852295
0-500,0.5436325
0-500,0.5388031
0-500,0.5279312
0-500,0.517395
0-500,0.50927734
0-500,0.50354767
0-500,0.49956703
0-500,0.5095749
0-500,0.5235138
0-500,0.53624535
0-500,0.54401016
0-500,0.5512295
0-500,0.55093956
0-500,0.5528641
0-500,0.5668793
0-500,0.5741482
0-500,0.5706768
0-500,0.57136536
0-500,0.56838036
0-500,0.5660744
0-500,0.5665493
0-500,0.5723915
0-500,0.5705242
0-500,0.5678654
0-500,0.57160187
0-500,0.5659485
0-500,0.55197906
0-500,0.5396671
0-500,0.52856255
0-500,0.5166664
0-500,0.5065098
0-500,0.49679184
0-500,0.49271774
0-500,0.49455452
0-500,0.49406052
0-500,0.4929886
0-500,0.49414062
0-500,0.49398804
0-500,0.4953766
0-500,0.49225426
0-500,0.4886036
0-500,0.48849678
0-500,0.48574066
0-500,0.48447418
0-500,0.49028397
0-500,0.49221802
0-500,0.49977112
0-500,0.5046768
0-500,0.5041504
0-500,0.5091038
0-500,0.5055046
0-500,0.50070953
0-500,0.50907516
0-500,0.5219631
0-500,0.5269661
0-500,0.52770233
0-500,0.530468
0-500,0.53307533
0-500,0.538784
0-500,0.5350208
0-500,0.536253
0-500,0.53961563
0-500,0.5469265
0-500,0.5574322
0-500,0.5608959
0-500,0.56059265
0-500,0.5559845
0-500,0.54613304
0-500,0.5338516
0-500,0.525301
0-500,0.51462173
0-500,0.50520134
0-500,0.49673653
0-500,0.49393845
0-500,0.5015907
0-500,0.51372147
0-500,0.5186615
0-500,0.5278988
0-500,0.5374584
0-500,0.54029655
0-500,0.5385647
0-500,0.5340195
0-500,0.5316391
0-500,0.5330105
0-500,0.5399971
0-500,0.5443058
0-500,0.54924965
0-500,0.5598278
0-500,0.57133293
0-500,0.58008957
0-500,0.5851345
0-500,0.57681465
0-500,0.57255363
0-500,0.5640125
0-500,0.55947685
0-500,0.5625076
0-500,0.56692886
0-500,0.57346916
0-500,0.59116936
0-500,0.60590553
0-500,0.60224915
0-500,0.5951958
0-500,0.5914631
0-500,0.5889988
0-500,0.5890846
0-500,0.58231735
0-500,0.5814705
0-500,0.58267975
0-500,0.5833435
0-500,0.58117485
0-500,0.58563805
0-500,0.59428406
0-500,0.5954704
0-500,0.59396553
0-500,0.60074806
0-500,0.6033745
0-500,0.60668945
0-500,0.6023941
0-500,0.595808
0-500,0.5894966
0-500,0.5839577
0-500,0.58075905
0-500,0.5788441
0-500,0.57538986
0-500,0.5760212
0-500,0.57346535
0-500,0.5691681
0-500,0.56539154
0-500,0.5672722
0-500,0.57322884
0-500,0.5767193
0-500,0.5751419
0-500,0.56796074
0-500,0.5631046
0-500,0.5630894
0-500,0.5588417
0-500,0.5588913
0-500,0.562191
0-500,0.5672703
0-500,0.5733948
0-500,0.5741806
0-500,0.57315636
0-500,0.56931496
0-500,0.56723404
0-500,0.5618057
0-500,0.56705475
0-500,0.56077385
0-500,0.5686226
0-500,0.5799694
0-500,0.58192825
0-500,0.579649
0-500,0.5734577
0-500,0.56728363
0-500,0.56762695
0-500,0.5745659
0-500,0.57526207
0-500,0.57338905
0-500,0.5805607
0-500,0.58205986
0-500,0.581419
0-500,0.58688164
0-500,0.58774185
0-500,0.597702
0-500,0.5998745
0-500,0.59536743
0-500,0.596323
0-500,0.59718895
0-500,0.59485817
0-500,0.5884743
0-500,0.5793667
0-500,0.5639496
0-500,0.555521
0-500,0.55134773
0-500,0.5536976
0-500,0.55340195
0-500,0.55301285
0-500,0.5539284
0-500,0.55423737
0-500,0.55566216
0-500,0.56215477
0-500,0.56401443
0-500,0.56407356
0-500,0.5623703
0-500,0.55846405
0-500,0.5657902
0-500,0.5699806
0-500,0.5741768
0-500,0.57715225
0-500,0.5795803
0-500,0.5806446
0-500,0.57946587
0-500,0.5756035
0-500,0.58298683
